prototype,q,q_rg,rho,sigma,n_nodes,feature,Members
590,0.298626578200101,0.0007660609632430757,6,1,1900,Electronics,590
397,0.2779871641468337,0.001042745282053028,7,1,1900,Electronics,397
1234,0.2599301927065423,0.0013321137654884567,8,1,1900,Electronics,1234
1093,0.11673418610130587,0.0013183403041114583,25,5,1900,Electronics,"1093,8,9,27,35"
1196,0.10203535619768643,0.0020323761585164975,17,1,1900,Electronics,1196
751,0.09066576894726022,0.0005193528109393937,13,1,1900,Electronics,751
260,0.07705822580903968,0.0022794336278958967,21,3,1900,Electronics,"260,21,41"
1678,0.07116299141304215,0.0009692046405887006,18,1,1900,Electronics,1678
1236,0.060667342626901787,0.0006949233099183683,19,1,1900,Electronics,1236
1017,0.05584765072328424,0.0007741941229055879,9,2,1900,Electronics,"1017,31"
647,0.05167758359802803,0.0012789172526379044,14,3,1900,Electronics,"647,13,23"
40,0.049123281433253674,0.0008939369142777191,15,6,1900,Electronics,"40,9,16,32,33,39"
437,0.048983716956472106,0.0010506332056280671,43,2,1900,Electronics,"437,45"
1358,0.04371476818128017,0.0007815497790473176,17,8,1900,Electronics,"1358,4,7,16,23,32,33,35"
834,0.04036373299097327,0.001046452366433736,13,2,1900,Electronics,"834,0"
1391,0.039427939806084306,0.001442737816227527,23,3,1900,Electronics,"1391,5,13"
1526,0.03667698079613359,0.0009692046405887006,18,6,1900,Electronics,"1526,0,13,21,22,41"
163,0.03557337672378356,0.0006206000972738627,11,7,1900,Electronics,"163,16,21,23,24,27,32"
604,0.03480576010118922,0.0008124747587256471,64,21,1900,Electronics,"604,5,10,25,31,32,47,67,86,104,107,119,120,139,147,154,156,163,183,195,205"
1416,0.028768207242553613,0.001376968799380389,20,2,1900,Electronics,"1416,0"
556,0.026105981519237466,0.0006649251031992264,40,6,1900,Electronics,"556,23,24,25,27,35"
785,0.024202820609242934,0.0015848349074984005,49,3,1900,Electronics,"785,5,27"
1509,0.020561147342480084,0.0011136429498984457,69,3,1900,Electronics,"1509,7,27"
1857,0.016659831488127906,0.0005828701290988881,55,1,1900,Electronics,1857
1412,0.01598983029863941,0.0009806912292409365,61,1,1900,Electronics,1412
1823,0.015225280082302907,0.0011365079703980427,60,2,1900,Electronics,"1823,9"
1288,0.014141957576708473,0.001612448550513024,73,1,1900,Electronics,1288
1178,0.009251242465391898,0.001033009277090757,113,2,1900,Electronics,"1178,16"
1192,0.0068315039300899695,0.0007786164199713476,110,6,1900,Electronics,"1192,9,16,21,41,45"
1387,0.004393565700595492,0.0004072606155655853,187,22,1900,Electronics,"1387,22,27,40,43,46,74,83,93,94,117,126,147,150,169,185,204,211,218,221,241,259"
811,0.002599282182230632,0.0008025487245985204,474,2,1900,Electronics,"811,9"
591,0.0025815704399587006,0.0006640700704185138,514,50,1900,Electronics,"591,0,5,24,27,43,52,72,74,86,88,102,123,183,186,199,205,215,247,265,286,296,312,355,368,383,386,423,444,446,447,455,460,463,474,476,490,491,515,516,528,540,556,563,568,570,579,594,624,642"
1200,0.00257522169398448,0.0005525479037905579,519,20,1900,Electronics,"1200,1,3,5,24,27,64,72,88,96,112,114,117,124,134,135,138,151,154,162"
1598,0.0024696628068357177,0.0007809893402174732,947,100,1900,Electronics,"1598,4,7,10,25,27,35,67,76,85,86,89,103,104,114,115,129,133,142,154,156,158,161,173,183,185,194,207,215,216,232,239,240,253,256,257,274,288,293,294,298,302,304,308,311,312,324,352,355,363,375,378,380,381,397,412,414,419,423,440,444,471,478,485,486,488,492,500,506,525,532,535,550,556,557,566,570,573,576,588,590,591,594,599,605,606,609,629,634,636,637,638,642,645,646,656,664,668,672,674"
293,0.0023703743190284414,0.0012481842858317888,507,2,1900,Electronics,"293,1"
1694,0.002259450389948278,0.0008615006574897403,993,61,1900,Electronics,"1694,27,35,52,104,114,115,170,183,205,207,212,216,226,239,242,252,263,266,274,286,290,296,312,325,331,352,354,355,363,397,409,419,423,435,446,463,469,474,476,478,482,490,492,514,526,535,540,556,576,579,585,588,606,612,642,643,646,649,678,682"
298,0.0020940892756093413,0.0006142545777342794,290,1,1900,Electronics,298
1325,0.0,0.0021888858332621284,6,1,1900,Electronics,1325
1282,0.0,0.0007296286110873762,2,1,1900,Electronics,1282
423,0.0,0.0007296286110873762,2,1,1900,Electronics,423
1583,0.0,0.0010944429166310642,3,1,1900,Electronics,1583
624,0.0,0.0007296286110873762,2,1,1900,Electronics,624
119,0.0,0.0021888858332621284,6,1,1900,Electronics,119
1815,0.0,0.0021888858332621284,6,1,1900,Electronics,1815
1842,0.0,0.0007296286110873762,2,1,1900,Electronics,1842
27,0.0,0.0014592572221747524,4,1,1900,Electronics,27
607,0.0,0.0010944429166310642,3,1,1900,Electronics,607
47,0.0,0.0007296286110873762,2,1,1900,Electronics,47
881,0.0,0.0010944429166310642,3,1,1900,Electronics,881
67,0.0,0.0010944429166310642,3,1,1900,Electronics,67
