prototype,q,q_rg,rho,sigma,n_nodes,feature,Members
27,0.016582839961512833,0.0601586738107247,760,211,1900,Featured,"27,9,23,43,86,119,136,152,160,163,169,186,248,274,319,351,354,355,366,423,429,439,469,533,540,544,591,603,605,607,630,658,671,728,731,743,769,785,787,811,827,828,852,918,931,932,946,1000,1073,1087,1092,1095,1098,1114,1136,1138,1150,1165,1195,1211,1236,1246,1270,1288,1292,1307,1333,1337,1343,1377,1391,1412,1426,1433,1443,1445,1497,1502,1505,1509,1510,1525,1534,1537,1565,1583,1588,1590,1596,1598,1601,1621,1628,1644,1659,1663,1675,1678,1682,1690,1694,1708,1722,1731,1739,1741,1747,1751,1754,1756,1758,1772,1786,1798,1800,1803,1815,1817,1823,1842,1873,1882,1885,1892,52,124,131,151,185,211,239,265,276,286,298,313,419,457,490,503,515,535,537,549,556,588,590,592,602,613,645,678,685,719,721,759,765,801,802,807,854,895,910,916,922,981,1009,1046,1066,1067,1071,1075,1093,1122,1123,1178,1183,1200,1210,1216,1234,1238,1248,1282,1287,1298,1322,1330,1355,1372,1379,1385,1387,1407,1449,1462,1463,1467,1472,1478,1492,1499,1501,40,88,476,545,1059,1192,1479,1857"
1196,0.014771251559446308,0.037070141909785415,667,223,1900,Featured,"1196,1,3,7,33,39,40,51,63,75,77,93,97,114,129,131,173,204,211,213,214,220,221,229,237,238,243,251,254,268,273,283,288,301,321,346,347,350,366,381,384,390,391,392,400,421,423,434,438,439,448,452,466,493,501,508,510,525,528,555,557,567,573,581,596,609,631,632,638,669,675,688,720,725,735,755,768,772,825,826,844,856,860,862,867,887,894,896,899,904,906,914,929,938,966,976,980,987,995,1009,1026,1060,1066,1078,1084,1086,1105,1131,1140,1144,1149,1150,1156,1159,1168,1170,1187,1188,1236,1237,1261,1267,1283,1293,1340,1353,1363,1412,1433,1441,1442,1453,1502,1503,1529,1554,1562,1612,1616,1618,1649,1656,1662,1684,1707,1717,1752,1755,1759,1763,1790,1796,1816,1819,1831,1849,1852,1857,1864,1880,1897,1207,1213,1269,1282,1296,1308,1313,1328,1335,1346,1367,1369,1387,1398,1435,1477,1487,1488,682,971,1567,1603,1789,170,293,846,861,981,1200,1424,0,66,91,320,486,930,1031,1059,1070,1223,1439,1456,1515,1555,1622,1629,1674,1685,1697,1743,47,418,807,1117,35,469,488,606,607,813,1014,1242"
1387,0.013003689925718933,0.0919233353249153,701,134,1900,Featured,"1387,22,27,40,43,46,74,83,93,94,117,126,147,150,169,185,204,211,218,221,241,259,262,280,281,307,336,346,361,365,372,376,386,394,420,423,437,463,472,473,480,503,523,526,545,567,568,573,588,602,624,647,662,665,674,678,702,724,728,743,751,768,769,773,818,822,823,827,834,853,864,873,897,910,912,962,984,993,1044,1053,1069,1088,1095,1114,1138,1151,1165,1167,1196,1220,1234,1235,1236,1252,1255,1262,1267,1282,1285,1298,1300,1302,1330,1336,1337,1345,1355,1365,1368,1391,1422,1461,1466,1474,1525,1537,1543,1557,1559,1573,1583,1590,1596,1597,1603,1619,1662,1678,1706,1726,1737,1739,1776,1780"
260,0.012500930836326722,0.06252872842498151,815,273,1900,Featured,"260,21,41,46,50,60,73,100,108,118,150,152,160,204,210,248,261,316,326,330,416,433,449,488,511,519,523,567,623,624,657,667,670,686,718,744,748,751,754,769,788,789,799,823,868,873,883,889,912,1013,1053,1088,1095,1114,1146,1177,1182,1215,1236,1259,1274,1288,1291,1377,1391,1394,1395,1420,1476,1489,1497,1526,1530,1583,1603,1631,1640,1647,1668,1677,1678,1683,1702,1729,1758,1767,1776,1793,1807,1836,1842,1845,1850,1854,1857,1868,1878,1879,1885,1896,262,278,280,317,365,368,367,376,386,394,457,458,472,489,498,515,517,537,549,551,568,615,647,654,663,685,696,712,738,758,765,794,802,807,826,833,853,884,955,960,977,1071,1075,1091,1106,1151,1243,1276,1281,1282,1285,1328,1341,1345,1362,1364,1368,1397,1410,1462,1464,163,374,749,834,953,1192,1554,1565,1815,1895,45,67,586,1355,1416,119,200,423,607,633,1309,1363,1374,1469,1611,1693,1730,1867,47,1234,0,22,189,281,322,348,350,404,724,827,1167,1393,1543,1577,1606,1656,1737,167,437,848,1387,13,40,395,1113,1373,120,265,356,521,910,1336,340,1760,1190,391,130,135,215,296,476,478,655,931,1055,1073,1412,1675,1747,1754,1817,224,286,490,503,556,590,1093,1178,1290,1325,1478,484,785,1044,1590,1750,465,625,665,854,1016,83,162,643,803,939,23,24,97,136,413"
1178,0.01208286626427716,0.061350783914449834,599,339,1900,Featured,"1178,16,23,27,35,86,100,102,108,119,130,135,147,154,178,205,212,226,272,308,312,354,355,361,368,423,429,454,471,514,526,528,535,559,570,573,576,579,585,588,590,594,604,606,607,613,616,617,630,636,642,645,656,658,678,682,717,723,731,754,758,783,785,788,801,804,811,819,835,842,852,855,868,881,895,903,908,916,918,932,984,991,1000,1017,1033,1086,1098,1112,1162,1192,1195,1231,1236,1246,1262,1312,1333,1358,1365,1391,1412,1422,1426,1439,1469,1476,1520,1533,1535,1586,1590,1598,1600,1611,1627,1654,1659,1663,1675,1690,1693,1694,1705,1719,1735,1739,1747,1754,1758,1768,1779,1798,1804,1815,1817,1841,1842,1885,1892,1894,1183,1210,1214,1230,1234,1238,1239,1282,1296,1319,1321,1325,1355,1379,1462,9,40,163,350,404,416,523,1857,47,265,521,1123,43,440,728,1073,1099,1288,1466,1483,1490,1596,1708,1757,1879,67,150,151,386,512,556,647,1207,1248,1322,1449,1492,136,152,160,169,186,248,274,319,351,366,439,469,533,540,544,591,603,605,671,743,769,787,827,828,931,946,1087,1092,1095,1114,1136,1138,1150,1165,1211,1270,1292,1307,1337,1343,1377,1433,1443,1445,1497,1502,1505,1509,1510,1525,1534,1537,1565,1583,1588,1601,1621,1628,1644,1678,1682,1722,1731,1741,1751,1756,1772,1786,1800,1803,1823,1873,1882,52,124,131,185,211,239,276,286,298,313,419,457,490,503,515,537,549,592,602,685,719,721,759,765,802,807,854,910,922,981,1009,1046,1066,1067,1071,1075,1093,1122,1200,1216,1287,1298,1330,1372,1385,1387,1407,1463,1467,1472,1478,1499,1501,7,216,478,971,1082,1370,1494,1867,288,293,839,1145,1173,1233,1320,296,444,446,474,476,601"
1598,0.011003296400237401,0.04449977935170227,623,368,1900,Featured,"1598,4,7,10,25,27,35,67,76,85,86,89,103,104,114,115,129,133,142,154,156,158,161,173,183,185,194,207,215,216,232,239,240,253,256,257,274,288,293,294,298,302,304,308,311,312,324,352,355,363,375,378,380,381,397,412,414,419,423,440,444,471,478,485,486,488,492,500,506,525,532,535,550,556,557,566,570,573,576,588,590,591,594,599,605,606,609,629,634,636,637,638,642,645,646,656,664,668,672,674,677,682,683,691,726,727,735,736,741,755,763,774,775,778,783,793,796,801,803,808,809,811,813,835,837,839,843,855,859,863,872,881,891,895,897,898,901,902,903,908,917,918,924,927,932,948,956,958,961,971,977,979,989,1004,1007,1008,1016,1022,1026,1028,1033,1047,1050,1068,1070,1084,1086,1099,1105,1111,1112,1127,1138,1145,1159,1161,1169,1173,1178,1193,1195,1197,1199,1207,1219,1222,1268,1269,1270,1282,1289,1296,1297,1303,1319,1320,1321,1325,1327,1330,1332,1333,1343,1350,1357,1358,1366,1370,1372,1404,1405,1407,1409,1418,1430,1435,1438,1447,1453,1454,1472,1473,1478,1486,1490,1492,1493,1494,1501,1503,1509,1520,1522,1532,1534,1540,1544,1558,1567,1572,1578,1580,1581,1586,1591,1602,1609,1611,1613,1618,1627,1629,1639,1650,1661,1663,1674,1676,1686,1694,1705,1709,1713,1725,1731,1735,1746,1750,1751,1755,1763,1764,1770,1772,1774,1777,1779,1795,1801,1804,1815,1817,1832,1840,1841,1844,1859,1861,1862,1888,1897,49,113,214,243,258,266,290,325,341,582,601,688,703,752,825,936,1155,1236,1314,1551,1560,1563,1607,1610,1612,1691,1717,1766,1818,1849,1875,1880,26,251,299,574,578,684,705,713,805,882,1072,1094,1117,1258,1371,346,469,607,1014,1242,1632,1648,463,725,842,922,1196,1354,1470,51,501,604,390,844,873,1059,1507,1513,1565,1666,47,370,1032,1248,9"
1412,0.01050576541827819,0.058187309958810565,866,372,1900,Featured,"1412,23,27,43,86,100,119,150,151,152,157,159,163,169,182,185,201,203,205,210,211,215,239,248,252,263,267,272,274,281,286,298,312,316,319,343,349,351,354,369,383,386,413,414,446,449,457,458,465,473,474,475,476,489,490,503,505,517,523,533,537,540,545,556,579,590,591,594,602,603,617,621,626,630,643,644,647,656,658,667,668,686,718,719,728,731,743,744,758,759,765,785,786,788,793,802,804,807,811,821,822,833,852,854,889,898,910,930,949,955,981,996,1017,1025,1033,1038,1046,1050,1061,1067,1069,1073,1089,1092,1098,1099,1103,1104,1107,1123,1132,1148,1162,1178,1193,1196,1200,1202,1210,1211,1212,1214,1231,1236,1246,1249,1255,1282,1288,1298,1301,1312,1322,1324,1337,1341,1345,1352,1358,1372,1379,1384,1385,1391,1395,1410,1422,1443,1445,1475,1489,1509,1533,1535,1537,1548,1565,1574,1575,1578,1583,1590,1596,1600,1621,1635,1659,1663,1668,1675,1678,1682,1686,1693,1705,1708,1715,1726,1739,1745,1754,1756,1758,1772,1775,1798,1815,1817,1839,1842,1853,1857,1873,1877,1432,1449,1462,1463,1467,1472,1492,1499,423,440,1426,1466,1483,1490,1747,1757,1804,1879,67,512,842,1207,1248,9,136,160,186,355,366,429,439,469,544,605,607,671,769,787,827,828,918,931,932,946,1000,1087,1095,1114,1136,1138,1150,1165,1195,1270,1292,1307,1333,1343,1377,1433,1497,1502,1505,1510,1525,1534,1588,1598,1601,1628,1644,1690,1694,1722,1731,1741,1751,1786,1800,1803,1823,1882,1885,1892,52,124,131,265,276,313,419,515,535,549,588,592,613,645,678,685,721,801,895,916,922,1009,1066,1071,1075,1093,1122,1183,1216,1234,1238,1287,1330,1355,1387,1407,1478,1501,26,126,130,220,352,488,855,871,1057,1157,1365,1593,1655,1688,1834,1852,1894,291,361,584,585,939,1004,1085,1117,1151,1181,1464,47,135,296,308,444,601,616,642"
1192,0.009390101507648527,0.05428666673120027,653,360,1900,Featured,"1192,9,16,21,41,45,50,72,74,83,86,100,108,120,122,159,162,193,199,204,210,218,225,235,241,255,259,261,280,284,297,309,330,368,371,374,376,386,391,394,402,406,430,433,446,449,457,460,472,523,551,568,572,607,617,621,623,624,633,634,647,652,656,658,667,693,714,718,719,738,743,744,748,754,758,759,769,788,794,799,810,811,818,826,852,864,871,874,911,912,920,930,939,942,949,963,984,1016,1025,1030,1044,1071,1073,1098,1103,1132,1142,1174,1178,1190,1215,1231,1236,1274,1291,1309,1329,1365,1391,1392,1395,1396,1419,1422,1445,1461,1466,1476,1497,1512,1526,1535,1547,1557,1583,1588,1601,1603,1631,1640,1656,1678,1681,1682,1683,1701,1706,1733,1745,1760,1775,1776,1780,1793,1809,1847,1854,1858,1868,1879,1883,1885,1890,1210,1224,1243,1282,1285,1302,1336,1345,1355,1364,1378,1382,1397,1462,1472,40,88,423,476,545,1059,1095,1479,1596,1758,1823,1857,27,298,549,1093,1234,1325,163,350,404,416,682,1358,47,265,521,1123,316,749,823,834,953,1394,1554,1565,1815,1895,67,260,586,1416,119,200,670,1013,1363,1374,1469,1611,1693,1730,1867,308,1017,1548,1564,1767,1803,437,508,955,13,395,751,827,873,1113,1114,1373,356,884,910,1151,22,24,90,94,540,589,591,1092,1702,1708,1800,1842,151,537,556,981,994,1200,1287,1499,160,307,372,519,528,708,1165,1167,1235,1543,1573,1619,1737,1756,1806,1816,1896,176,490,841,848,962,1067,1280,1387,0,484,724,870,925,1088,1489,1530,1536,118,434,553,695,853,1096,1335,1368,43,130,135,296,444,474,594,601,605,616,642,653,680,731,993,1195,1240,1264,1412,1426,1494,1590,1598,1600,1627,1659,1663,1675,1731,1747,1754,1779,1804,1841,124,147,178,183,224,286,465,570,576,585,590,604"
1288,0.008117983393939028,0.0727217277639035,803,440,1900,Featured,"1288,13,23,27,33,43,82,93,126,138,139,147,151,152,153,169,170,185,199,201,203,210,211,226,231,260,267,312,313,319,343,346,349,351,361,366,368,369,383,386,400,419,421,423,428,429,434,439,442,444,454,457,458,461,463,465,469,473,475,503,510,526,528,533,535,537,540,545,549,553,584,585,603,604,636,646,647,649,658,667,678,686,688,691,696,700,709,714,715,724,728,731,758,759,765,771,773,785,801,804,807,811,816,822,828,833,838,841,842,881,910,916,919,931,950,952,955,958,977,984,988,1017,1020,1025,1033,1038,1050,1062,1069,1082,1087,1092,1107,1109,1114,1129,1143,1148,1158,1162,1183,1188,1197,1200,1210,1211,1212,1214,1234,1236,1238,1239,1243,1249,1255,1262,1267,1276,1279,1282,1297,1312,1337,1342,1358,1365,1391,1401,1412,1426,1443,1445,1456,1474,1475,1502,1511,1525,1537,1548,1565,1575,1587,1588,1596,1600,1601,1613,1631,1635,1655,1682,1684,1688,1715,1722,1732,1739,1745,1758,1768,1775,1787,1798,1804,1811,1819,1823,1831,1834,1842,1855,1862,1877,1878,1882,1897,1290,1298,1310,1313,1322,1328,1330,1360,1366,1372,1378,1379,1381,1386,1407,1408,1432,1435,1462,1463,1464,1472,73,123,160,180,259,271,624,751,823,883,930,1098,1177,1291,1526,1564,1583,1603,1637,1647,1677,1678,1778,1845,1857,47,50,150,204,394,517,551,766,947,1139,1151,1190,1281,1287,1346,119,163,440,656,1073,1099,1466,1483,1490,1663,1675,1693,1708,1747,1757,1815,1879,67,512,556,590,1178,1207,1248,1449,1492,9,86,136,186,248,274,354,355,544,591,605,607,630,671,743,769,787,827,852,918,932,946,1000,1095,1136,1138,1150,1165,1195,1246,1270,1292,1307,1333,1343,1377,1433,1497,1505,1509,1510,1534,1590,1598,1621,1628,1644,1659,1690,1694,1731,1741,1751,1754,1756,1772,1786,1800,1803,1817,1873,1885,1892,52,124,131,239,265,276,286,298,490,515,588,592,602,613,645,685,719,721,802,854,895,922,981,1009,1046,1066,1067,1071,1075,1093,1122,1123,1216,1355,1385,1387,1467,1478,1499,1501,40,58,207,268,339,357,363,378,674,726,897,1059,1332,1374,1384,1406,1503,1562,1626,1666,1763,1867,293,384,619,1127,1196,1217,1233,1325,1371,1459"
834,0.007745911316702127,0.04800725820806247,628,269,1900,Featured,"834,0,21,22,46,50,60,73,74,83,94,102,150,167,193,204,218,241,259,261,262,265,271,278,279,281,287,309,313,322,326,330,336,348,374,376,386,394,395,416,423,431,433,434,444,449,472,484,488,498,511,517,519,537,549,551,553,567,568,572,621,624,626,647,657,663,667,685,686,689,695,696,700,702,708,722,738,744,746,748,751,789,794,799,823,873,883,912,966,975,1013,1053,1063,1088,1095,1146,1167,1177,1236,1274,1291,1300,1324,1326,1359,1365,1377,1392,1402,1411,1443,1461,1466,1474,1476,1483,1526,1530,1543,1548,1573,1577,1583,1603,1606,1640,1645,1656,1658,1677,1682,1683,1699,1701,1702,1760,1775,1776,1793,1806,1807,1842,1850,1854,1856,1857,1858,1890,1896,835,848,853,884,960,962,980,1071,1078,1089,1096,1106,1144,1148,1151,1190,1220,1243,1276,1280,1282,1302,1331,1336,1345,1364,1368,1387,1408,1410,1416,1470,175,350,404,420,591,925,1175,1309,1633,1733,1780,3,371,552,163,316,749,953,1192,1394,1554,1565,1815,1895,45,67,260,586,1355,72,88,189,589,607,670,677,724,827,949,1165,1391,1510,1590,1601,1637,1726,1737,1756,1882,224,365,602,615,915,1255,1362,1393,437,13,40,1113,1114,1373,120,356,521,910,1234,340,391,160,307,372,523,528,743,864,1235,1619,1816,1883,176,490,841,1067,1285,210,870"
67,0.0076617728140514095,0.06290715224606573,441,245,1900,Featured,"67,21,23,24,35,39,40,47,63,93,130,139,156,163,205,216,232,240,271,274,308,316,330,343,352,402,406,423,440,444,446,471,474,478,499,606,611,633,637,642,674,718,726,775,804,843,868,1017,1059,1086,1098,1099,1169,1177,1222,1262,1294,1297,1311,1350,1363,1394,1401,1419,1425,1441,1461,1494,1544,1568,1578,1587,1598,1603,1610,1611,1620,1627,1655,1670,1683,1709,1728,1730,1750,1768,1774,1779,1819,1831,1840,1857,1861,1864,1888,1895,1897,104,183,238,239,252,298,303,304,331,412,428,432,475,535,556,570,590,592,604,613,617,647,654,704,720,771,796,801,810,839,895,938,945,950,1123,1145,1162,1163,1216,1217,1234,1255,1271,1282,1320,1321,1330,1376,374,624,749,823,834,953,1192,1236,1526,1554,1565,1815,45,260,586,1355,1416,43,119,656,728,731,1073,1288,1358,1412,1426,1466,1483,1490,1596,1663,1675,1693,1708,1747,1757,1758,1804,1842,1879,27,150,151,386,512,842,1178,1207,1248,1322,1449,1492,72,340,591,873,1107,1114,1479,1583,1678,1756,1823,1867,537,681,1066,1200,1287,1499,7,469,881,932,971,1082,1343,1370,1509,1694,1705,1731,1735,1817,288,293,588,1093,1173,1233,1325,1478,32,473,686,1020,1548,1878,1196"
751,0.007242240304245521,0.048818547784987856,325,57,1900,Featured,"751,0,13,22,46,50,72,73,74,83,94,136,160,167,176,189,203,204,218,235,241,255,259,260,261,262,265,278,279,280,281,287,291,307,313,317,319,330,334,348,350,368,372,376,394,395,404,413,416,420,421,431,434,437,449,461,472"
1823,0.00669830289602833,0.07637810009269888,596,426,1900,Featured,"1823,9,24,27,33,35,52,72,81,93,104,115,126,136,147,151,154,169,185,200,210,211,220,239,248,252,267,315,351,354,355,361,363,365,383,388,399,405,413,423,433,440,442,444,454,458,463,464,465,469,473,475,480,503,533,535,540,541,557,585,588,594,611,634,670,678,718,726,735,741,759,791,799,801,802,804,816,835,838,844,851,855,864,871,881,910,916,917,919,922,924,931,938,942,950,1033,1038,1044,1082,1087,1098,1105,1117,1122,1129,1138,1144,1158,1162,1181,1197,1200,1212,1216,1227,1238,1239,1248,1261,1282,1286,1288,1290,1298,1310,1312,1322,1325,1329,1333,1337,1352,1358,1371,1372,1374,1375,1378,1379,1386,1407,1420,1424,1427,1456,1463,1469,1497,1511,1513,1524,1535,1537,1557,1572,1575,1596,1613,1631,1634,1637,1650,1654,1655,1659,1661,1684,1685,1703,1739,1741,1751,1758,1780,1839,1861,1867,1877,1879,1897,40,88,476,545,607,811,1059,1095,1192,1236,1479,1583,1678,1857,16,298,549,1093,1234,163,340,499,591,823,873,1107,1114,1693,1756,1842,1895,67,150,537,556,681,1066,1217,1287,1499,23,43,86,119,152,160,186,274,319,366,429,439,544,603,605,630,658,671,728,731,743,769,785,787,827,828,852,918,932,946,1000,1073,1092,1136,1150,1165,1195,1211,1246,1270,1292,1307,1343,1377,1391,1412,1426,1433,1443,1445,1502,1505,1509,1510,1525,1534,1565,1588,1590,1598,1601,1621,1628,1644,1663,1675,1682,1690,1694,1708,1722,1731,1747,1754,1772,1786,1798,1800,1803,1815,1817,1873,1882,1885,1892,124,131,265,276,286,313,419,457,490,515,590,592,602,613,645,685,719,721,765,807,854,895,981,1009,1046,1067,1071,1075,1123,1178,1183,1210,1330,1355,1385,1387,1449,1462,1467,1472,1478,1492,1501,58,207,268,339,357,378,400,674,897,1017,1020,1262,1332,1384,1406,1503,1562,1626,1666,1763,170,293,384,619,647,984,1127,1196,1233,1459,7,205,216,471,478,971,1370,1494,1611,1627,1705,1735,288,839,1145,1173,1320,214,682,1022,550,853,1279,22,90,94,589,751,1309,1526,1702,1730,1776,437,551,884,994,697,420,1587,1852,386,526,842,1151,1313,243,421"
1325,0.006627856309492767,0.05825581414089043,408,8,1900,Featured,"1325,9,33,35,69,85,86,89"
1282,0.006320148406703322,0.0008075356489102697,256,2,1900,Featured,"1282,0"
1678,0.006156603882819858,0.07915796621959875,535,245,1900,Featured,"1678,9,13,24,27,40,43,47,72,90,93,119,123,135,139,151,159,163,200,248,260,280,296,298,312,313,316,319,343,351,361,368,371,386,394,406,414,423,429,437,443,446,455,457,460,464,474,482,489,490,503,516,517,537,545,549,570,602,604,607,614,616,627,630,647,650,654,680,696,718,719,728,731,743,751,756,758,759,765,788,793,822,827,828,842,845,852,854,868,883,889,915,918,920,931,932,947,977,984,986,1017,1023,1039,1044,1073,1088,1094,1095,1106,1113,1137,1148,1165,1183,1192,1195,1200,1217,1219,1234,1236,1240,1241,1264,1282,1298,1310,1322,1335,1340,1345,1346,1355,1365,1376,1377,1387,1395,1401,1408,1412,1420,1422,1445,1449,1461,1463,1475,1479,1499,1526,1583,1590,1600,1619,1635,1655,1675,1677,1684,1693,1715,1745,1747,1754,1768,1815,1842,1857,1861,1878,1885,1895,88,476,811,1059,1596,1758,1823,16,1093,1325,73,160,180,259,271,624,823,930,1098,1114,1177,1288,1291,1391,1548,1564,1603,1637,1647,1775,1778,1845,50,150,204,434,526,551,553,584,766,955,988,1139,1151,1190,1243,1276,1281,1287,1313,1378,340,499,591,873,1107,1756,1867,67,556,681,1066,23,86,136,152,169,186,274,354,355"
1694,0.006144086963944183,0.05564414929526182,369,100,1900,Featured,"1694,27,35,52,104,114,115,170,183,205,207,212,216,226,239,242,252,263,266,274,286,290,296,312,325,331,352,354,355,363,397,409,419,423,435,446,463,469,474,476,478,482,490,492,514,526,535,540,556,576,579,585,588,606,612,642,643,646,649,678,682,691,735,752,775,778,786,801,804,807,811,832,839,842,844,845,851,855,881,898,903,908,909,910,916,917,919,922,924,950,963,971,981,991,996,1017,1036,1042,1046,1049"
785,0.005905267781811745,0.05988325134632026,377,82,1900,Featured,"785,5,27,32,43,52,54,106,108,119,130,135,147,151,159,163,175,178,185,216,248,267,271,286,293,298,308,313,319,343,349,351,361,383,423,426,429,435,443,457,458,465,474,489,490,503,517,535,549,556,570,576,585,590,591,594,604,607,630,647,656,658,667,671,682,686,696,718,719,727,728,731,741,758,759,765,771,788,852,868,918,932"
1416,0.005359309176824521,0.056429984544620455,828,230,1900,Featured,"1416,0,21,46,50,120,122,133,152,160,167,176,180,186,201,204,210,211,218,224,235,255,259,262,263,277,280,309,317,349,350,364,372,376,404,409,416,420,428,432,434,437,455,489,490,494,498,499,508,519,521,550,553,621,647,671,722,738,749,751,794,814,823,826,829,834,841,845,853,883,884,899,912,915,930,947,953,960,994,995,1016,1038,1071,1075,1096,1104,1106,1113,1142,1143,1146,1147,1148,1151,1166,1185,1215,1236,1244,1246,1282,1300,1309,1325,1328,1329,1335,1342,1370,1373,1377,1387,1392,1397,1411,1415,1419,1445,1521,1526,1530,1543,1548,1554,1583,1587,1603,1619,1631,1656,1666,1668,1670,1681,1683,1701,1702,1710,1733,1741,1760,1767,1768,1806,1809,1813,1845,1852,1854,1857,1865,1868,1877,1883,1890,1427,1429,175,433,567,591,624,748,925,1167,1175,1402,1573,1633,1780,1858,1896,3,83,278,371,552,163,316,374,1192,1394,1565,1815,1895,45,67,260,586,1355,22,189,281,322,348,724,827,1393,1577,1606,1737,848,13,40,395,423,873,1013,1114,265,356,910,1234,1336,62,86,119,130,139,285,287,308,402,471,607,614,616,633,652,744"
