prototype,q,q_rg,rho,sigma,n_nodes,feature,Members
1678,0.03410638881531575,0.09537686685440082,598,240,1900,PriceTier,"1678,9,13,24,27,40,43,47,72,90,93,119,123,135,139,151,159,163,200,248,260,280,296,298,312,313,316,319,343,351,361,368,371,386,394,406,414,423,429,437,443,446,455,457,460,464,474,482,489,490,503,516,517,537,545,549,570,602,604,607,614,616,627,630,647,650,654,680,696,718,719,728,731,743,751,756,758,759,765,788,793,822,827,828,842,845,852,854,868,883,889,915,918,920,931,932,947,977,984,986,1017,1023,1039,1044,1073,1088,1094,1095,1106,1113,1137,1148,1165,1183,1192,1195,1200,1217,1219,1234,1236,1240,1241,1264,1282,1298,1310,1322,1335,1340,1345,1346,1355,1365,1376,1377,1387,1395,1401,1408,1412,1420,1422,1445,1449,1461,1463,1475,1479,1499,1526,1583,1590,1600,1619,1635,1655,1675,1677,1684,1693,1715,1745,1747,1754,1768,1815,1842,1857,1861,1878,1885,1895,88,476,811,1059,1596,1758,1823,16,1093,1325,73,160,180,259,271,624,823,930,1098,1114,1177,1288,1291,1391,1548,1564,1603,1637,1647,1775,1778,1845,50,150,204,434,526,551,553,584,766,955,988,1139,1151,1190,1243,1276,1281,1287,1313,1378,340,499,591,873,1107,1756,1867,67,556,681,1066,23,86,136,152"
67,0.03194073331540642,0.07892318223635322,480,245,1900,PriceTier,"67,21,23,24,35,39,40,47,63,93,130,139,156,163,205,216,232,240,271,274,308,316,330,343,352,402,406,423,440,444,446,471,474,478,499,606,611,633,637,642,674,718,726,775,804,843,868,1017,1059,1086,1098,1099,1169,1177,1222,1262,1294,1297,1311,1350,1363,1394,1401,1419,1425,1441,1461,1494,1544,1568,1578,1587,1598,1603,1610,1611,1620,1627,1655,1670,1683,1709,1728,1730,1750,1768,1774,1779,1819,1831,1840,1857,1861,1864,1888,1895,1897,104,183,238,239,252,298,303,304,331,412,428,432,475,535,556,570,590,592,604,613,617,647,654,704,720,771,796,801,810,839,895,938,945,950,1123,1145,1162,1163,1216,1217,1234,1255,1271,1282,1320,1321,1330,1376,374,624,749,823,834,953,1192,1236,1526,1554,1565,1815,45,260,586,1355,1416,43,119,656,728,731,1073,1288,1358,1412,1426,1466,1483,1490,1596,1663,1675,1693,1708,1747,1757,1758,1804,1842,1879,27,150,151,386,512,842,1178,1207,1248,1322,1449,1492,72,340,591,873,1107,1114,1479,1583,1678,1756,1823,1867,537,681,1066,1200,1287,1499,7,469,881,932,971,1082,1343,1370,1509,1694,1705,1731,1735,1817,288,293,588,1093,1173,1233,1325,1478,32,473,686,1020,1548,1878,1196"
1196,0.030547056779421766,0.04865670454823735,667,153,1900,PriceTier,"1196,1,3,7,33,39,40,51,63,75,77,93,97,114,129,131,173,204,211,213,214,220,221,229,237,238,243,251,254,268,273,283,288,301,321,346,347,350,366,381,384,390,391,392,400,421,423,434,438,439,448,452,466,493,501,508,510,525,528,555,557,567,573,581,596,609,631,632,638,669,675,688,720,725,735,755,768,772,825,826,844,856,860,862,867,887,894,896,899,904,906,914,929,938,966,976,980,987,995,1009,1026,1060,1066,1078,1084,1086,1105,1131,1140,1144,1149,1150,1156,1159,1168,1170,1187,1188,1236,1237,1261,1267,1283,1293,1340,1353,1363,1412,1433,1441,1442,1453,1502,1503,1529,1554,1562,1612,1616,1618,1649,1656,1662,1684,1707,1717,1752,1755,1759,1763,1790,1796,1816"
1526,0.025743182038640643,0.06729414088436829,707,299,1900,PriceTier,"1526,0,13,21,22,41,46,50,62,72,73,74,90,94,99,118,150,160,167,189,193,200,204,218,255,259,260,261,262,265,278,279,280,284,287,307,316,317,330,334,336,348,354,376,391,394,398,401,416,421,431,434,437,449,458,460,467,472,498,499,508,511,517,519,521,545,548,551,589,615,624,667,695,700,722,724,737,738,746,749,751,756,789,810,823,827,834,841,853,864,871,883,884,899,912,915,953,955,966,1013,1044,1053,1063,1066,1071,1080,1102,1113,1139,1146,1151,1165,1167,1174,1179,1192,1220,1236,1244,1281,1282,1287,1290,1291,1309,1328,1329,1335,1346,1364,1377,1393,1402,1416,1465,1474,1497,1511,1512,1530,1536,1543,1548,1552,1554,1564,1583,1603,1606,1619,1640,1656,1662,1668,1677,1678,1699,1712,1715,1737,1793,1806,1807,1809,1845,1854,1857,1878,1883,1890,1895,1896,175,350,404,420,433,567,591,748,925,1175,1573,1633,1733,1780,1858,3,83,371,552,123,180,271,423,930,1098,1114,1177,1288,1391,1635,1637,1647,1775,1778,47,368,386,526,553,584,647,766,947,988,1148,1190,1234,1243,1276,1313,1378,163,374,1394,1565,1815,45,67,586,1355,88,281,322,395,607,670,677,702,744,873,949,1466,1510,1590,1601,1726,1756,1776,1842,1882,224,365,602,1255,1362,1387,1408,119,633,1363,1374,1469,1611,1693,1730,1867,1577,848,40,1373,120,356,910,1336,364,1494,1620,298,465,608,826,1163,24,540,1092,1702,1708,1800,1823,151,537,556,981,994,1123,1200,1499"
1412,0.024935488667524444,0.08047464286928128,866,240,1900,PriceTier,"1412,23,27,43,86,100,119,150,151,152,157,159,163,169,182,185,201,203,205,210,211,215,239,248,252,263,267,272,274,281,286,298,312,316,319,343,349,351,354,369,383,386,413,414,446,449,457,458,465,473,474,475,476,489,490,503,505,517,523,533,537,540,545,556,579,590,591,594,602,603,617,621,626,630,643,644,647,656,658,667,668,686,718,719,728,731,743,744,758,759,765,785,786,788,793,802,804,807,811,821,822,833,852,854,889,898,910,930,949,955,981,996,1017,1025,1033,1038,1046,1050,1061,1067,1069,1073,1089,1092,1098,1099,1103,1104,1107,1123,1132,1148,1162,1178,1193,1196,1200,1202,1210,1211,1212,1214,1231,1236,1246,1249,1255,1282,1288,1298,1301,1312,1322,1324,1337,1341,1345,1352,1358,1372,1379,1384,1385,1391,1395,1410,1422,1443,1445,1475,1489,1509,1533,1535,1537,1548,1565,1574,1575,1578,1583,1590,1596,1600,1621,1635,1659,1663,1668,1675,1678,1682,1686,1693,1705,1708,1715,1726,1739,1745,1754,1756,1758,1772,1775,1798,1815,1817,1839,1842,1853,1857,1873,1877,1432,1449,1462,1463,1467,1472,1492,1499,423,440,1426,1466,1483,1490,1747,1757,1804,1879,67,512,842,1207,1248,9,136,160"
260,0.02080622149621937,0.08705023893864564,811,259,1900,PriceTier,"260,21,41,46,50,60,73,100,108,118,150,152,160,204,210,248,261,316,326,330,416,433,449,488,511,519,523,567,623,624,657,667,670,686,718,744,748,751,754,769,788,789,799,823,868,873,883,889,912,1013,1053,1088,1095,1114,1146,1177,1182,1215,1236,1259,1274,1288,1291,1377,1391,1394,1395,1420,1476,1489,1497,1526,1530,1583,1603,1631,1640,1647,1668,1677,1678,1683,1702,1729,1758,1767,1776,1793,1807,1836,1842,1845,1850,1854,1857,1868,1878,1879,1885,1896,262,278,280,317,365,368,367,376,386,394,457,458,472,489,498,515,517,537,549,551,568,615,647,654,663,685,696,712,738,758,765,794,802,807,826,833,853,884,955,960,977,1071,1075,1091,1106,1151,1243,1276,1281,1282,1285,1328,1341,1345,1362,1364,1368,1397,1410,1462,1464,163,374,749,834,953,1192,1554,1565,1815,1895,45,67,586,1355,1416,119,200,423,607,633,1309,1363,1374,1469,1611,1693,1730,1867,47,1234,0,22,189,281,322,348,350,404,724,827,1167,1393,1543,1577,1606,1656,1737,167,437,848,1387,13,40,395,1113,1373,120,265,356,521,910,1336,340,1760,1190,391,130,135,215,296,476,478,655,931,1055,1073,1412,1675,1747,1754,1817,224,286,490,503,556,590,1093,1178,1290,1325,1478,484,785,1044,1590,1750,465"
751,0.01995903199033646,0.07343176253982041,609,287,1900,PriceTier,"751,0,13,22,46,50,72,73,74,83,94,136,160,167,176,189,203,204,218,235,241,255,259,260,261,262,265,278,279,280,281,287,291,307,313,317,319,330,334,348,350,368,372,376,394,395,404,413,416,420,421,431,434,437,449,461,472,484,488,494,498,519,521,523,545,548,551,567,568,589,615,621,624,647,667,668,681,686,693,696,702,708,722,724,738,744,750,789,822,827,834,873,883,912,925,953,966,1013,1113,1146,1167,1215,1235,1236,1291,1300,1324,1461,1466,1511,1526,1530,1543,1548,1554,1573,1577,1603,1606,1619,1640,1658,1668,1678,1699,1701,1702,1712,1715,1732,1737,1760,1776,1788,1793,1807,1809,1845,1857,1895,1896,814,841,848,853,939,947,1071,1096,1115,1132,1210,1280,1281,1282,1290,1302,1335,1345,1368,1387,1410,1416,1465,1485,175,433,591,748,1175,1309,1402,1633,1733,1780,1806,1858,3,371,552,884,123,180,271,423,823,930,1098,1114,1177,1288,1391,1564,1583,1635,1637,1647,1677,1775,1778,1878,47,150,386,517,526,553,584,766,955,988,1139,1148,1151,1190,1234,1243,1276,1287,1313,1346,1378,88,322,336,607,670,677,949,1165,1474,1510,1590,1601,1726,1756,1842,1882,224,365,602,915,1255,1362,1364,1408,1393,1656,40,163,1192,1373,120,356,910,1336,24,90,119,540,1092,1708,1730,1800,1823,151,537,556,981,994,1123,1200,1355,1499,391,528,743,864,1816,1883,490,962,1067,1285,210,799,870"
1694,0.018036954939328418,0.0791005853624284,645,362,1900,PriceTier,"1694,27,35,52,104,114,115,170,183,205,207,212,216,226,239,242,252,263,266,274,286,290,296,312,325,331,352,354,355,363,397,409,419,423,435,446,463,469,474,476,478,482,490,492,514,526,535,540,556,576,579,585,588,606,612,642,643,646,649,678,682,691,735,752,775,778,786,801,804,807,811,832,839,842,844,845,851,855,881,898,903,908,909,910,916,917,919,922,924,950,963,971,981,991,996,1017,1036,1042,1046,1049,1077,1093,1097,1112,1122,1123,1125,1131,1145,1153,1162,1173,1178,1183,1193,1197,1210,1212,1214,1216,1227,1233,1236,1239,1241,1243,1248,1262,1268,1279,1282,1286,1297,1307,1312,1319,1320,1321,1325,1330,1333,1343,1347,1352,1358,1370,1379,1386,1408,1427,1449,1455,1467,1469,1478,1492,1505,1534,1578,1588,1593,1598,1611,1621,1627,1643,1654,1655,1659,1663,1667,1685,1705,1722,1735,1739,1741,1745,1746,1749,1751,1764,1772,1774,1798,1800,1803,1804,1815,1817,1840,1863,1865,1894,9,23,43,86,119,136,152,160,163,169,186,248,319,351,366,429,439,533,544,591,603,605,607,630,658,671,728,731,743,769,785,787,827,828,852,918,931,932,946,1000,1073,1087,1092,1095,1098,1114,1136,1138,1150,1165,1195,1211,1246,1270,1288,1292,1337,1377,1391,1412,1426,1433,1443,1445,1497,1502,1509,1510,1525,1537,1565,1583,1590,1596,1601,1628,1644,1675,1678,1682,1690,1708,1731,1747,1754,1756,1758,1786,1823,1842,1873,1882,1885,1892,124,131,151,185,211,265,276,298,313,457,503,515,537,549,590,592,602,613,645,685,719,721,759,765,802,854,895,1009,1066,1067,1071,1075,1200,1234,1238,1287,1298,1322,1355,1372,1385,1387,1407,1462,1463,1472,1499,1501,7,471,1082,1494,1867,67,288,293,647,88,214,1022,465,550,853,40,243,421,726,838,1026,604,1040,68,400,825"
1391,0.01746576842115176,0.1042076890602015,670,331,1900,PriceTier,"1391,5,13,22,27,40,41,43,47,90,97,99,102,119,135,136,139,147,150,151,159,163,167,182,185,248,252,258,260,264,265,267,280,284,286,293,298,312,313,319,343,349,351,361,368,369,371,383,386,400,406,414,423,426,437,442,443,444,457,465,471,474,475,476,490,491,503,505,515,517,523,526,533,537,545,549,556,570,581,584,586,591,602,607,616,617,621,623,627,630,647,650,654,667,686,687,728,731,743,744,765,771,786,788,804,822,827,828,833,841,847,852,866,868,883,889,898,915,918,920,931,935,942,946,960,963,975,980,981,1020,1023,1025,1033,1044,1046,1067,1069,1073,1087,1092,1095,1097,1098,1099,1107,1157,1164,1177,1178,1181,1182,1192,1193,1197,1214,1217,1230,1231,1234,1236,1239,1255,1267,1282,1287,1288,1298,1312,1322,1336,1341,1352,1355,1358,1376,1378,1382,1387,1395,1399,1412,1420,1443,1445,1474,1475,1479,1509,1537,1554,1557,1583,1594,1596,1600,1613,1654,1655,1663,1668,1675,1677,1693,1708,1709,1715,1722,1729,1739,1745,1747,1754,1756,1757,1758,1768,1775,1779,1793,1800,1803,1815,1816,1817,1821,1842,1845,1857,1861,1864,1873,1878,1882,1895,1410,1432,1449,1463,1472,1492,1499,51,69,205,214,785,855,1562,1632,1684,1789,1818,1867,604,801,860,1123,1200,73,123,160,180,259,271,624,751,823,930,1114,1291,1526,1548,1564,1603,1635,1637,1647,1678,1778,50,204,394,434,551,553,766,947,955,988,1139,1148,1151,1190,1243,1276,1281,1313,1346,46,72,88,189,281,322,336,395,449,589,670,677,702,724,748,834,873,949,1165,1167,1402,1466,1510,1543,1573,1590,1601,1726,1737,1776,1780,74,224"
1178,0.01723654884255595,0.08741580894015244,601,195,1900,PriceTier,"1178,16,23,27,35,86,100,102,108,119,130,135,147,154,178,205,212,226,272,308,312,354,355,361,368,423,429,454,471,514,526,528,535,559,570,573,576,579,585,588,590,594,604,606,607,613,616,617,630,636,642,645,656,658,678,682,717,723,731,754,758,783,785,788,801,804,811,819,835,842,852,855,868,881,895,903,908,916,918,932,984,991,1000,1017,1033,1086,1098,1112,1162,1192,1195,1231,1236,1246,1262,1312,1333,1358,1365,1391,1412,1422,1426,1439,1469,1476,1520,1533,1535,1586,1590,1598,1600,1611,1627,1654,1659,1663,1675,1690,1693,1694,1705,1719,1735,1739,1747,1754,1758,1768,1779,1798,1804,1815,1817,1841,1842,1885,1892,1894,1183,1210,1214,1230,1234,1238,1239,1282,1296,1319,1321,1325,1355,1379,1462,9,40,163,350,404,416,523,1857,47,265,521,1123,43,440,728,1073,1099,1288,1466,1483,1490,1596,1708,1757,1879,67,150,151,386,512,556,647,1207,1248,1322,1449,1492,136,152,160"
