Feature,Size,Jaccard Distance
ViewsBand_dst=low,3920,0.874756381993035
ViewsBand_dst=medium,6247,0.8004089587526758
AgeBand_dst=young,6856,0.7809514680980223
AgeBand_dst=mid,10680,0.6587750407361257
HighActivity_dst=0,11647,0.6278794849675708
ExplicitLanguage_dst=1,12511,0.6002747691619541
AgeBand_dst=old,13763,0.560273491165852
Partner_dst=1,14534,0.5356401162976453
Partner_dst=0,16765,0.4643598837023547
ExplicitLanguage_src=0,18688,0.4029202210933257
HighActivity_src=1,19352,0.38170548579826835
ViewsBand_src=high,21248,0.32112847055816485
