prototype,rho,sigma,q,q_rg,n_nodes,feature
1530,4,1,0.346573590266677,0.00021324100395555732,4,ViewsBand
1824,2,1,0.3465735902665037,9.83204473764815e-05,3,ViewsBand
1525,8,1,0.25993019270328094,0.00012100094393427646,8,ViewsBand
798,11,3,0.21503382553968942,0.00019415940072445463,11,ViewsBand
1424,5,2,0.2043302494957104,0.0002564622390874856,6,ViewsBand
988,12,8,0.2027325540365857,0.00017875827159702062,12,ViewsBand
1326,6,1,0.18310204810681402,0.00018327709432256395,6,ViewsBand
912,14,3,0.1815638272145382,0.00026948747568344495,17,ViewsBand
1673,14,2,0.1789661383489445,0.00018486336016582477,14,ViewsBand
1908,14,2,0.17896613834890565,0.00020339679702747028,14,ViewsBand
953,10,8,0.17851484103055057,0.0005513809802431285,10,ViewsBand
1589,4,1,0.17328679513325185,0.000196640894752963,4,ViewsBand
617,14,7,0.127383908536502,0.0003202076022407969,14,ViewsBand
863,19,2,0.12133468525108154,0.00041871767349590063,26,ViewsBand
809,11,1,0.11811663491609292,0.00020829784447125836,12,ViewsBand
1246,7,2,0.09613492474138133,0.0001185448240176185,7,ViewsBand
1304,14,1,0.08948306917444329,0.0003450184727025866,16,ViewsBand
119,26,3,0.08921421787007504,0.000896504319417567,26,ViewsBand
60,20,12,0.08745046819489025,0.0002659836675872356,20,ViewsBand
460,34,4,0.07518757608155634,0.0008399028515163503,35,ViewsBand
417,46,19,0.06971783085480793,0.0006140514279955269,46,ViewsBand
659,22,4,0.06963495494631333,0.00027722276211441155,22,ViewsBand
1533,18,8,0.0680701894219442,0.0002511168307589913,18,ViewsBand
376,17,6,0.06803322717816115,0.00022432439295470244,17,ViewsBand
1367,18,2,0.06757751801506222,0.00029244154058013155,18,ViewsBand
1287,55,13,0.06551104958680179,0.0007037303360632074,55,ViewsBand
88,46,21,0.06466729551182153,0.0010585448601030784,48,ViewsBand
38,39,2,0.05253868289545656,0.0007725852220118014,39,ViewsBand
55,22,1,0.05205146837501542,0.00030290798701312893,22,ViewsBand
851,14,5,0.05180346118476392,0.00018011240009094417,14,ViewsBand
1476,143,16,0.051501483028794544,0.002581435784934061,143,ViewsBand
992,9,3,0.03926101187698322,0.0006682239776283112,9,ViewsBand
349,39,6,0.03893250727896513,0.00049785934090121,39,ViewsBand
1467,16,2,0.035960259053192015,0.0002670795522993376,16,ViewsBand
996,58,17,0.035538578884200776,0.0007514241793083617,58,ViewsBand
1014,101,15,0.0348093281148267,0.0017414914910004263,101,ViewsBand
1031,32,1,0.03337001968589511,0.00046885920293050087,32,ViewsBand
1337,31,3,0.03327997436884817,0.0005977353967977904,31,ViewsBand
174,65,4,0.02995915935147559,0.0011258806629728334,67,ViewsBand
74,26,23,0.028627722735491693,0.001388934457439007,26,ViewsBand
986,19,9,0.025610789011068575,0.0011320892707395434,19,ViewsBand
496,140,3,0.018516535256804734,0.0023421165952272616,140,ViewsBand
127,714,332,0.0035279007532367517,0.012954314001468155,714,ViewsBand
1480,2,1,0.0,0.0001277234527875081,4,ViewsBand
1731,2,1,0.0,0.00016213186794999474,2,ViewsBand
1390,3,1,0.0,7.477437396805235e-05,3,ViewsBand
1603,5,1,0.0,0.00012462395661342061,5,ViewsBand
