prototype,rho,sigma,q,q_rg,n_nodes,feature
1480,4,1,0.34657359027313683,7.225658386007987e-05,4,ExplicitLanguage
1589,4,2,0.14384103621276806,0.00012252172430184295,4,ExplicitLanguage
798,11,2,0.14335588369768099,0.0003346365159365723,11,ExplicitLanguage
953,10,2,0.13862943610660147,0.0001713250251846367,10,ExplicitLanguage
1467,16,3,0.12996509634993889,0.000475180602062471,16,ExplicitLanguage
1246,7,1,0.12104255148001888,0.0002036858990249252,7,ExplicitLanguage
659,22,5,0.1195666126977368,0.00036261576852172607,22,ExplicitLanguage
1326,6,1,0.11552453008883456,0.000102795015110782,6,ExplicitLanguage
74,26,6,0.11204026517423663,0.0007555148107994706,26,ExplicitLanguage
988,12,7,0.10321945947759652,0.00019794879133187268,12,ExplicitLanguage
992,9,2,0.09010335735147378,0.0001899640258014304,9,ExplicitLanguage
617,13,7,0.08995219942014224,0.0002738413724297492,14,ExplicitLanguage
912,15,1,0.08811705599699991,0.00035672284960899017,17,ExplicitLanguage
851,14,5,0.08612930599671338,0.0004414548481629828,14,ExplicitLanguage
38,39,4,0.08516392841501248,0.0006459583068224846,39,ExplicitLanguage
460,35,12,0.07650636044166452,0.0006787666444116654,35,ExplicitLanguage
1337,31,8,0.07015802006031678,0.0009006631919851568,31,ExplicitLanguage
60,20,2,0.06931471805330074,0.0003426500503692734,20,ExplicitLanguage
809,12,2,0.06757751801360533,0.0003521161753885932,12,ExplicitLanguage
1304,16,1,0.06130182831153532,0.0004653439573381169,16,ExplicitLanguage
1673,14,1,0.06052127574000944,0.00043335410488581867,14,ExplicitLanguage
863,26,5,0.0572630492354146,0.0008080206763442384,26,ExplicitLanguage
88,48,5,0.052490123009865906,0.0013941122161979977,48,ExplicitLanguage
119,26,1,0.0504687072668789,0.000459418920509695,26,ExplicitLanguage
55,22,5,0.04560697623550563,0.0004399171420300537,22,ExplicitLanguage
1287,55,8,0.04027885170693587,0.0016165619701834736,55,ExplicitLanguage
996,58,3,0.037667508638495356,0.0017366227751115055,58,ExplicitLanguage
986,19,3,0.0373245439007617,0.00036242066545607297,19,ExplicitLanguage
1031,32,2,0.03596025905479734,0.0009323873047483683,32,ExplicitLanguage
1908,14,1,0.03155948230374555,0.00040831468755302857,14,ExplicitLanguage
1367,18,1,0.027359804726172637,0.0003486865525299016,18,ExplicitLanguage
376,17,1,0.025606945366544467,0.0004962450805965191,17,ExplicitLanguage
174,67,1,0.018044184265816398,0.001151353877356387,67,ExplicitLanguage
349,39,22,0.017487013485491885,0.0006750728339604768,39,ExplicitLanguage
417,46,6,0.010650119460569221,0.0007663160269696162,46,ExplicitLanguage
1014,101,1,0.0073655396624394305,0.0017018606833834823,101,ExplicitLanguage
496,140,1,0.0059340611314923864,0.0023187031106631606,140,ExplicitLanguage
1476,143,2,0.0057198285123472295,0.002396076500481615,143,ExplicitLanguage
127,714,1,0.0014586188722702593,0.011869965816199089,714,ExplicitLanguage
1530,4,1,0.0,0.0001311316427290179,4,ExplicitLanguage
1424,6,1,0.0,0.00019669746409352686,6,ExplicitLanguage
1525,6,1,0.0,0.00019669746409352686,8,ExplicitLanguage
1824,2,1,0.0,6.556582136450895e-05,3,ExplicitLanguage
1731,2,1,0.0,6.556582136450895e-05,2,ExplicitLanguage
1390,3,1,0.0,9.834873204676343e-05,3,ExplicitLanguage
1533,13,1,0.0,0.00042617783886930824,18,ExplicitLanguage
1603,4,1,0.0,0.00018139678317078098,5,ExplicitLanguage
1246,7,2,0.24208510296003777,0.00014451111113199922,7,Partner
1390,3,1,0.13515503602721066,7.939205635674802e-05,3,Partner
1908,14,4,0.1262379292149822,0.00029839373450610566,14,Partner
798,11,1,0.11811663491844984,0.00028910304291203496,11,Partner
659,22,2,0.10410293675234134,0.0005549769199222602,22,Partner
1603,5,1,0.1021651247478552,0.00012496879273149176,5,Partner
992,9,2,0.09010335735147378,0.0001952297951696221,9,Partner
1287,55,5,0.08752824977108163,0.0013340775882587997,55,Partner
1533,18,8,0.08202165865273098,0.0005012771684698554,18,Partner
1031,32,7,0.08196419205951874,0.0008109132483200365,32,Partner
74,26,4,0.07469351011615774,0.0005727306372588526,26,Partner
1367,18,5,0.0698095634041053,0.0005012771684698554,18,Partner
809,11,3,0.06172482977478015,0.0003788463712947291,12,Partner
376,17,3,0.06146588721914266,0.0004143471263499208,17,Partner
60,20,1,0.06019864021493309,0.0004471925166836109,20,Partner
1525,8,1,0.05875045365238568,0.0001946637226375343,8,Partner
863,26,5,0.05045466623871658,0.0007163603019022238,26,Partner
