prototype,rho,sigma,q,q_rg,n_nodes,feature
1604,4,1,0.34657359027313683,0.00026930696014285674,19,HighActivity
1673,6,1,0.298626578200101,0.0007700339173909745,116,HighActivity
851,6,3,0.11552453009332421,0.00018212282626044833,20,HighActivity
809,12,5,0.1140990744347459,0.0008079208804285702,29,HighActivity
38,6,2,0.09796444415035317,0.0007700339173909745,39,HighActivity
1424,29,3,0.09438013343852694,0.005519102898390702,42,HighActivity
953,17,1,0.08511288134758603,0.0012923043916039912,23,HighActivity
912,38,5,0.07364475588797836,0.0017830276189077612,39,HighActivity
1824,13,1,0.07350088038463776,0.00018930950047928142,30,HighActivity
863,4,2,0.07192051811294521,0.0002780603593797986,48,HighActivity
60,14,5,0.07065814303900858,0.0020943493034000925,20,HighActivity
376,20,6,0.06694306539426292,0.0020425103069842067,22,HighActivity
1480,17,5,0.05710471012207681,0.0019956266402796677,24,HighActivity
1603,9,4,0.052348015835977625,0.0016360896533064997,64,HighActivity
1390,9,4,0.052348015835977625,0.0016360896533064997,20,HighActivity
1467,11,5,0.04332280899049628,0.002254903413445427,80,HighActivity
1530,18,5,0.04252362632176067,0.002310101752172924,24,HighActivity
1731,28,6,0.042354936069015685,0.002576922935816917,28,HighActivity
1908,10,4,0.0369326061492291,0.0019425745840035637,21,HighActivity
944,29,1,0.03671416334362827,0.0007230530473507958,38,HighActivity
1749,21,5,0.03670254280989839,0.0031415239551001385,22,HighActivity
1304,11,7,0.03557337672378356,0.0006276972262914148,83,HighActivity
1326,15,1,0.0340550415826184,0.00015147051784844336,24,HighActivity
417,27,2,0.03003445245049126,0.0008195527181720175,57,HighActivity
1589,24,2,0.028736707188777542,0.001101781972423086,33,HighActivity
1410,22,13,0.027489100133390367,0.005891814990940379,22,HighActivity
1337,119,3,0.026862641001176794,0.003140385093869964,119,HighActivity
174,45,1,0.025946781336173397,0.0017592787999480596,70,HighActivity
460,24,4,0.023973506037648404,0.0016158417608571403,45,HighActivity
1367,80,2,0.022907268296175873,0.0008778699557538994,80,HighActivity
1533,47,4,0.02039106830798389,0.005097294196004367,92,HighActivity
349,33,23,0.01942189669299218,0.002441398729312294,45,HighActivity
986,21,4,0.019156431159961518,0.004196165538163676,21,HighActivity
88,37,10,0.018839084237698797,0.008035883557764262,49,HighActivity
1014,221,30,0.013722172918347889,0.0040140452257557665,221,HighActivity
1287,195,12,0.012311566282192387,0.004546996556379297,196,HighActivity
496,173,39,0.01172339731387841,0.004103085981936218,202,HighActivity
988,42,4,0.009578215579980759,0.008392331076327352,42,HighActivity
1476,357,42,0.0035880217210907213,0.0009252754796581842,598,HighActivity
127,764,19,0.0026447670860393732,0.0014395153674224362,767,HighActivity
996,3,1,0.0,0.0010810227130583646,109,HighActivity
1031,2,1,0.0,0.0007294352079425096,34,HighActivity
74,3,1,0.0,0.0010941528119137644,26,HighActivity
119,5,1,0.0,0.0018017045217639408,29,HighActivity
659,13,1,0.0,0.004741328851626313,30,HighActivity
1525,30,1,0.0,0.010941528119137645,30,HighActivity
1775,6,1,0.0,0.002188305623827529,22,HighActivity
992,4,1,0.0,0.0014588704158850193,24,HighActivity
617,2,1,0.0,0.0007294352079425096,21,HighActivity
1246,4,1,0.0,0.0014588704158850193,20,HighActivity
