prototype,rho,sigma,q,q_rg,n_nodes,feature
38,2,1,0.3465735902665037,0.0003640847025684998,39,Partner
1424,5,2,0.2043302494957104,0.0005007956540043539,42,Partner
1246,18,6,0.19592888829176627,0.0024108515282305655,20,Partner
851,10,2,0.183258146369407,0.002849878244357137,20,Partner
496,5,1,0.183258146369407,0.0014249391221785685,202,Partner
944,4,1,0.17328679513325185,0.0007281694051369996,38,Partner
1604,16,4,0.14384103621918937,0.0020540820459594494,19,Partner
1749,22,6,0.12326867010448303,0.007210750703115138,22,Partner
1390,6,1,0.11552453008883456,0.0010922541077054994,20,Partner
1589,21,8,0.10734124805491665,0.003373275033200918,33,Partner
659,10,3,0.10700248317369161,0.004099060232167143,30,Partner
460,10,1,0.0916290731847035,0.0010015913080087078,45,Partner
1775,18,2,0.09010335735436505,0.0024108515282305655,22,Partner
60,11,1,0.07167794184884049,0.0015642002821924417,20,Partner
74,21,4,0.06408994982758755,0.009023600585985671,26,Partner
986,21,1,0.059655379450860635,0.009023600585985671,21,Partner
1467,75,5,0.054732036802851936,0.0097776392767042,80,Partner
953,19,1,0.052554148951787144,0.001496618947124096,23,Partner
1031,29,14,0.05041638716508736,0.0018631980097131998,34,Partner
1410,16,3,0.04946578526052087,0.006288127322181107,22,Partner
992,14,2,0.048067462370690664,0.006015733723990448,24,Partner
1824,22,1,0.04598185962051368,0.0016658898940698475,30,Partner
1304,67,10,0.043682031930829895,0.0013900146201056517,83,Partner
988,16,1,0.04332169878331296,0.002912677620547998,42,Partner
1731,28,16,0.03898602935081635,0.01067279678088923,28,Partner
863,44,16,0.036553969117099204,0.0005374226015566067,48,Partner
349,42,8,0.03488222577284612,0.0058972644044881055,45,Partner
376,22,2,0.03481747747542,0.008479972158668032,22,Partner
174,69,1,0.020302799427734712,0.0012540532069741192,70,Partner
1480,24,8,0.019242076717834268,0.0007299065714173656,24,Partner
417,57,2,0.018129499761111063,0.01601782853156391,57,Partner
1525,28,1,0.017821113074724684,0.0026635993752179986,30,Partner
1533,82,12,0.01768528136103715,0.002570174210314177,92,Partner
996,107,4,0.01694658427137113,0.00815977513964262,109,Partner
1603,63,4,0.016333090361268406,0.006168301646309696,64,Partner
1530,24,9,0.015793411796292713,0.0007299065714173656,24,Partner
1367,76,3,0.013490103698513107,0.0026846576990480074,80,Partner
1287,189,31,0.00996087035310998,0.019938264801840525,196,Partner
1673,97,2,0.008573771033343468,0.005970693137379972,116,Partner
1337,67,5,0.0070013996412266275,0.0005069079187129909,119,Partner
1014,212,37,0.0032134283812877604,0.005224792438203936,221,Partner
127,715,1,0.0022806155525276787,0.0034325751133199764,767,Partner
1476,595,43,0.0013576334269039944,0.0031399652918178518,598,Partner
88,28,1,0.0,0.0023098682098456605,49,Partner
912,2,1,0.0,0.0020132775227641292,39,Partner
809,6,1,0.0,0.0004949717592526415,29,Partner
119,7,1,0.0,0.0005774670524614151,29,Partner
1326,6,1,0.0,0.0004949717592526415,24,Partner
617,16,1,0.0,0.0013199246913403772,21,Partner
1908,3,1,0.0,0.0030199162841461936,21,Partner
