prototype,rho,sigma,q,q_rg,n_nodes,feature
1390,2,1,0.3465735902665037,0.0004190573224994047,20,ViewsBand
617,5,1,0.32188758248133853,0.0015284090147140365,21,ViewsBand
1908,9,3,0.27031007206309515,0.001922632263924012,21,ViewsBand
1424,6,2,0.23104906017766913,0.001257171967498214,42,ViewsBand
88,22,4,0.21543412850749424,0.003964204989262893,49,ViewsBand
460,5,1,0.183258146369407,0.0011080569139512732,45,ViewsBand
1326,19,2,0.16401522294938478,0.004219345721608815,24,ViewsBand
851,19,2,0.1426749541015939,0.0033120541961450993,20,ViewsBand
1824,25,6,0.13658404191099177,0.0035566985851066026,30,ViewsBand
119,29,6,0.12245604844720627,0.0020844875047215687,29,ViewsBand
809,15,2,0.0927165807610561,0.000830783821811427,29,ViewsBand
60,11,3,0.08088128716023044,0.0027854425909409728,20,ViewsBand
1530,20,1,0.08047189561905832,0.0022615214991698962,24,ViewsBand
1604,18,3,0.07911303827936197,0.0033639901171971082,19,ViewsBand
953,21,5,0.07799726452150575,0.008427083743925357,23,ViewsBand
1410,20,8,0.0771787921248047,0.0049372027021904645,22,ViewsBand
1589,23,1,0.07605216759920952,0.007482881741450637,33,ViewsBand
863,12,1,0.07295572811056732,0.002586404852607604,48,ViewsBand
1304,7,3,0.0660645770578171,0.002557207316572283,83,ViewsBand
659,29,12,0.061482839781386946,0.004654878768441041,30,ViewsBand
1337,41,8,0.05701440400866747,0.0017069047401678413,119,ViewsBand
1525,14,4,0.05647324809202091,0.004142228024555529,30,ViewsBand
944,38,5,0.05052996889663943,0.0075268764020761224,38,ViewsBand
349,42,10,0.05031168895636005,0.010360704492845443,45,ViewsBand
376,22,4,0.04687801986385966,0.004565207468522958,22,ViewsBand
1775,22,10,0.04547885687626732,0.002825846721469657,22,ViewsBand
74,23,5,0.04336387873646261,0.008730852527780674,26,ViewsBand
1031,24,9,0.04180905276038516,0.0022008978565205154,34,ViewsBand
417,57,30,0.0361935956129088,0.00979564238207106,57,ViewsBand
992,24,18,0.0319197107957572,0.011384480687788499,24,ViewsBand
1467,79,8,0.029560547697261914,0.01563038031288035,80,ViewsBand
1603,64,1,0.02900465609863317,0.007657153684116667,64,ViewsBand
1246,20,2,0.0287682072401124,0.004172736457169727,20,ViewsBand
912,28,2,0.027697537927304814,0.006744116358725326,39,ViewsBand
1673,98,4,0.026666698638351166,0.012481683918427723,116,ViewsBand
986,21,11,0.025556752647300052,0.009763037721670694,21,ViewsBand
174,60,18,0.024310894746686827,0.0017308727723549483,70,ViewsBand
1367,78,7,0.021581951515129934,0.0025319284708583923,80,ViewsBand
996,109,3,0.020702965512721563,0.006904642566211906,109,ViewsBand
1731,28,2,0.019042233245259537,0.009006422178264403,28,ViewsBand
1287,186,12,0.014933076973062537,0.0210246758751936,196,ViewsBand
496,192,5,0.00950627590796793,0.0038124021531429166,202,ViewsBand
1014,186,135,0.007821812379621413,0.0021325730139574914,221,ViewsBand
1476,303,178,0.00493489837484893,0.0016382727353230098,598,ViewsBand
127,716,478,0.002320330148086513,0.005225327372711016,767,ViewsBand
1533,2,1,0.0,0.0011596226265868817,92,ViewsBand
1480,2,1,0.0,0.0011596226265868817,24,ViewsBand
38,2,1,0.0,0.0011285907224567145,39,ViewsBand
988,3,1,0.0,0.001692886083685072,42,ViewsBand
1749,9,1,0.0,0.0050786582510552155,22,ViewsBand
