node,best_radius,best_q,size,members
616,1,5.87171658616142,1,['471']
1380,1,5.87171658616142,1,['471']
320,1,5.87171658616142,1,['67']
266,1,5.87171658616142,1,['743']
694,1,5.87171658616142,1,['67']
865,1,5.863348336490903,1,['428']
247,1,5.863348336490903,1,['577']
427,1,5.863348336490903,1,['1005']
1010,1,5.863348336490903,1,['996']
1607,1,5.863348336490903,1,['577']
550,1,5.84205008581295,2,"['1337', '287']"
1247,1,5.84205008581295,1,['287']
804,1,5.84205008581295,1,['287']
1069,1,5.84205008581295,1,['1287']
1564,1,5.84205008581295,1,['1694']
157,1,5.84205008581295,1,['88']
930,1,5.84205008581295,1,['92']
722,1,5.84205008581295,1,['1422']
1437,1,5.84205008581295,1,['1086']
233,1,5.233771915546195,1,['806']
1813,1,5.233771915546195,1,['784']
1472,1,5.233771915546195,1,['127']
1110,1,5.233771915546195,1,['1593']
356,1,5.233771915546195,1,['127']
137,1,5.233771915546195,2,"['1433', '127']"
532,1,5.233771915546195,1,['1758']
1218,1,5.233771915546195,1,['806']
1088,1,5.233771915546195,1,['1433']
544,1,5.233771915546195,1,['127']
1116,1,5.233771915546195,1,['1821']
118,1,5.225403665875678,1,['496']
81,1,5.225403665875678,1,['319']
1527,1,5.225403665875678,1,['628']
1362,1,5.225403665875678,1,['455']
13,1,5.225403665875678,1,['446']
1626,1,5.225403665875678,1,['496']
228,1,5.225403665875678,1,['946']
518,1,5.225403665875678,1,['235']
1335,1,5.225403665875678,1,['116']
292,1,5.204105415197725,5,"['1476', '460', '1196', '1374', '682']"
97,1,5.204105415197725,1,['290']
130,1,5.204105415197725,1,['1259']
1723,1,5.204105415197725,3,"['306', '880', '290']"
813,1,5.204105415197725,2,"['290', '467']"
1055,1,5.204105415197725,1,['622']
420,1,5.204105415197725,2,"['1142', '880']"
935,1,5.204105415197725,2,"['1311', '682']"
949,1,5.204105415197725,1,['1259']
296,1,5.204105415197725,1,['1311']
1439,1,5.204105415197725,2,"['1185', '682']"
385,1,5.204105415197725,3,"['1320', '1476', '982']"
1070,1,5.204105415197725,1,['1579']
18,1,5.204105415197725,3,"['305', '467', '1374']"
556,1,5.204105415197725,2,"['557', '1374']"
1261,1,5.204105415197725,1,['318']
714,1,5.204105415197725,1,['290']
1075,1,5.204105415197725,3,"['1660', '1259', '1297']"
1895,1,5.204105415197725,1,['814']
200,1,5.204105415197725,1,['781']
1465,1,5.204105415197725,2,"['1660', '1476']"
1343,1,5.204105415197725,1,['1631']
721,1,5.204105415197725,1,['814']
354,1,5.204105415197725,1,['1147']
729,1,5.204105415197725,1,['1147']
1534,1,5.204105415197725,1,['781']
655,1,5.204105415197725,1,['1311']
1583,1,5.204105415197725,1,['1660']
548,1,5.204105415197725,1,['1390']
1595,1,5.204105415197725,2,"['1320', '1739']"
990,1,5.204105415197725,1,['557']
1446,1,5.204105415197725,1,['1631']
1658,1,5.204105415197725,1,['1297']
251,1,5.204105415197725,1,['1150']
561,1,5.204105415197725,2,"['488', '1367']"
218,1,5.204105415197725,2,"['1476', '982']"
833,1,5.204105415197725,1,['305']
168,1,5.204105415197725,2,"['622', '1367']"
166,1,5.204105415197725,3,"['1196', '682', '1374']"
1,1,4.992887693979729,3,"['1666', '689', '1147']"
1123,1,4.935198080644225,13,"['1376', '1311', '1320', '290', '1297', '1721', '1259', '103', '1366', '467', '814', '306', '1739']"
1417,1,4.8851240498543484,7,"['1068', '1297', '1660', '1320', '103', '467', '1643']"
1331,1,4.859868318100625,6,"['141', '305', '1660', '1320', '290', '1721']"
1645,1,4.829930569945392,2,"['1320', '1086']"
1325,1,4.829930569945392,2,"['1226', '1297']"
1577,1,4.829930569945392,2,"['1078', '318']"
1176,1,4.829930569945392,2,"['488', '751']"
1317,1,4.829930569945392,4,"['1036', '1337', '62', '1086']"
546,1,4.80990597078979,3,"['1758', '67', '127']"
1103,1,4.7802394704413205,3,"['306', '1436', '1476']"
443,1,4.7802394704413205,3,"['622', '122', '1287']"
1141,1,4.7802394704413205,3,"['1142', '1259', '287']"
401,1,4.758488623056166,6,"['1476', '1660', '290', '127', '103', '1721']"
658,1,4.758488623056166,6,"['1476', '1821', '1660', '1320', '781', '1147']"
1487,1,4.758488623056166,6,"['1259', '1297', '127', '781', '467', '1147']"
890,1,4.709636291729232,5,"['1660', '1320', '290', '127', '103']"
381,1,4.709636291729232,10,"['1476', '1699', '1433', '1297', '781', '102', '467', '870', '1423', '1147']"
1796,1,4.709636291729232,5,"['1476', '1259', '1660', '127', '467']"
985,1,4.6640201458402695,4,"['1433', '1821', '127', '467']"
23,1,4.649186895666034,4,"['1660', '127', '1476', '290']"
1613,1,4.649186895666034,4,"['1311', '656', '127', '781']"
