node,best_radius,best_q,size,members
292,1,1.0789327307216638,5,"['1476', '1196', '460', '682', '1374']"
1305,1,1.0789327307216638,7,"['738', '287', '122', '88', '1035', '1479', '1421']"
100,1,1.0789327307216638,10,"['309', '208', '265', '1188', '414', '231', '939', '1421', '885', '1881']"
1346,1,1.0789327307216638,6,"['1466', '1731', '1287', '274', '1721', '305']"
1816,1,1.0789327307216638,7,"['1666', '1409', '1232', '1287', '1706', '195', '1755']"
1048,1,1.0789327307216638,10,"['1119', '1884', '1118', '394', '1232', '484', '779', '622', '1479', '1337']"
1314,1,1.0789327307216638,8,"['35', '857', '880', '774', '716', '467', '1706', '1259']"
1417,1,1.0789327307216638,7,"['1297', '1660', '1068', '1643', '467', '1320', '103']"
1520,1,1.0789327307216638,6,"['409', '1036', '1660', '155', '103', '1259']"
1331,1,1.0789327307216638,6,"['290', '141', '1660', '1320', '1721', '305']"
431,1,1.0789327307216638,11,"['488', '224', '309', '208', '265', '1199', '122', '1188', '1479', '1421', '397']"
421,1,1.0789327307216638,8,"['814', '1185', '557', '686', '1147', '1825', '682', '1311']"
144,1,1.0789327307216638,6,"['403', '689', '1297', '1762', '1643', '467']"
365,1,1.0789327307216638,6,"['656', '1014', '781', '557', '1147', '318']"
1479,1,0.8889013392567305,21,"['431', '265', '885', '1881', '1783', '939', '1421', '361', '1586', '224', '1107', '208', '88', '1136', '309', '1305', '1199', '1188', '1240', '1048', '397']"
1881,1,0.8359804706169265,15,"['92', '488', '1839', '1783', '208', '1421', '265', '48', '1395', '496', '1479', '100', '1337', '885', '397']"
653,1,0.8359804706169265,15,"['1719', '536', '1177', '857', '267', '547', '1628', '177', '706', '816', '1259', '1285', '962', '920', '1647']"
1123,1,0.8100253961681636,13,"['1366', '814', '1376', '290', '306', '1297', '467', '1320', '1739', '1721', '1311', '103', '1259']"
1093,1,0.7945689560278757,12,"['502', '290', '2', '806', '1443', '1660', '1663', '1147', '1706', '1721', '1423', '318']"
1572,1,0.7945689560278757,12,"['1036', '1295', '1376', '781', '1089', '245', '141', '173', '1320', '103', '318', '1259']"
243,1,0.7860732345320234,23,"['1543', '1476', '455', '1533', '1660', '467', '682', '1739', '290', '1443', '141', '1147', '1320', '1721', '103', '318', '127', '287', '1643', '988', '305', '1068', '1259']"
304,1,0.7769935879495592,11,"['1185', '1136', '1732', '374', '414', '94', '1034', '1421', '361', '1347', '224']"
333,1,0.7769935879495592,11,"['1555', '689', '1524', '36', '1245', '188', '880', '1628', '216', '1224', '1850']"
1499,1,0.7568164073650626,10,"['1476', '141', '622', '1660', '1297', '467', '1643', '934', '1721', '1142']"
361,1,0.7455597626485131,19,"['304', '1226', '1479', '158', '1347', '1034', '939', '1421', '224', '1208', '88', '1136', '309', '942', '1100', '1199', '1289', '1506', '94']"
1788,1,0.7333969126951284,9,"['1631', '502', '2', '1533', '1443', '1147', '1824', '1086', '682']"
345,1,0.7333969126951284,9,"['557', '942', '1533', '547', '1443', '1660', '1147', '1078', '1678']"
972,1,0.7333969126951284,9,"['586', '656', '287', '781', '1297', '1643', '706', '1593', '1259']"
1021,1,0.7058708820087858,8,"['814', '863', '290', '557', '1320', '682', '1157', '1259']"
