node,best_radius,best_q,size,members
1544,1,1.0621512537596605,5,"['67', '868', '1494', '315', '11']"
1849,1,1.0621512537596605,6,"['227', '1837', '1137', '775', '1545', '996']"
108,1,0.6732738133066896,10,"['92', '809', '67', '1354', '1287', '212', '1311', '1337', '751', '842']"
1642,1,0.5952928926337253,31,"['110', '67', '536', '1361', '1422', '1036', '1736', '6', '188', '1800', '608', '1340', '1414', '1647', '528', '287', '1260', '1287', '139', '1408', '315', '176', '751', '70', '1474', '577', '589', '1154', '908', '747', '598']"
1152,1,0.5608999825262191,14,"['1286', '407', '267', '1106', '1667', '747', '530', '1090', '776', '1298', '1340', '216', '1603', '1670']"
165,1,0.5052659331241518,6,"['1139', '821', '1525', '106', '429', '1127']"
506,1,0.47202200058996396,11,"['528', '1543', '67', '428', '1137', '176', '1422', '1593', '1844', '38', '598']"
1880,1,0.43415989609842764,5,"['1166', '1764', '1230', '952', '1254']"
140,1,0.43415989609842764,5,"['1105', '663', '459', '428', '61']"
736,1,0.43415989609842764,5,"['114', '24', '1166', '1337', '1175']"
1393,1,0.4242065831444354,6,"['455', '1758', '1297', '467', '1739', '45']"
1713,1,0.4242065831444354,16,"['59', '1476', '1821', '1787', '127', '290', '1232', '781', '777', '870', '1758', '1297', '1147', '467', '1157', '1433']"
58,1,0.4242065831444354,12,"['1821', '127', '781', '1758', '71', '1297', '982', '467', '894', '306', '1621', '1259']"
1000,1,0.4242065831444354,8,"['446', '309', '319', '151', '725', '60', '265', '1495']"
1815,1,0.4242065831444354,9,"['488', '1612', '1014', '511', '61', '1297', '1258', '204', '1311']"
977,1,0.4242065831444354,5,"['1821', '127', '1758', '1279', '467']"
907,1,0.4242065831444354,12,"['488', '1424', '1476', '1843', '127', '290', '781', '197', '173', '1297', '467', '305']"
571,1,0.4242065831444354,9,"['1476', '290', '1765', '1660', '1320', '1739', '103', '45', '1621']"
1796,1,0.4242065831444354,5,"['1476', '127', '1660', '467', '1259']"
542,1,0.4242065831444354,5,"['290', '62', '1320', '1739', '45']"
1228,1,0.4242065831444354,8,"['35', '1476', '127', '290', '455', '298', '341', '1311']"
362,1,0.4242065831444354,9,"['656', '488', '1821', '1843', '794', '1014', '1297', '467', '894']"
1594,1,0.4242065831444354,5,"['1821', '1843', '1014', '1541', '455']"
796,1,0.4242065831444354,6,"['583', '1777', '857', '404', '197', '1311']"
270,1,0.4242065831444354,8,"['830', '467', '496', '1196', '682', '1207', '38', '1374']"
673,1,0.4242065831444354,7,"['127', '928', '1147', '894', '1258', '682', '1433']"
1635,1,0.4242065831444354,10,"['1476', '127', '290', '1329', '455', '713', '1758', '698', '1621', '1259']"
1806,1,0.4242065831444354,7,"['1476', '127', '290', '467', '1593', '698', '1259']"
1123,1,0.4242065831444354,13,"['1366', '814', '1376', '290', '306', '1297', '467', '1320', '1739', '1721', '1311', '103', '1259']"
396,1,0.4242065831444354,7,"['1476', '127', '290', '1660', '1320', '1855', '103']"
1504,1,0.4242065831444354,14,"['250', '1476', '290', '557', '504', '1316', '957', '1196', '460', '682', '306', '120', '1374', '1153']"
795,1,0.4242065831444354,5,"['1612', '1476', '290', '1660', '103']"
172,1,0.4242065831444354,5,"['1476', '127', '1320', '103', '1433']"
1748,1,0.4242065831444354,6,"['488', '814', '928', '467', '1311', '698']"
1856,1,0.4242065831444354,6,"['70', '557', '1541', '4', '682', '1531']"
572,1,0.4242065831444354,7,"['814', '1476', '127', '290', '383', '1660', '103']"
1520,1,0.4242065831444354,6,"['409', '1036', '1660', '155', '103', '1259']"
184,1,0.4242065831444354,7,"['1476', '1821', '127', '1758', '1297', '467', '1259']"
1471,1,0.4242065831444354,13,"['127', '1653', '1297', '982', '1147', '467', '1196', '1739', '1721', '682', '103', '1320', '318']"
498,1,0.4242065831444354,11,"['1476', '127', '455', '1245', '1189', '1297', '1660', '467', '894', '698', '1433']"
381,1,0.4242065831444354,10,"['102', '1476', '1699', '781', '870', '1297', '1147', '467', '1423', '1433']"
1487,1,0.4242065831444354,6,"['127', '781', '1297', '1147', '467', '1259']"
1419,1,0.4242065831444354,12,"['1821', '1476', '127', '455', '781', '298', '1297', '1660', '899', '467', '894', '1433']"
399,1,0.4242065831444354,16,"['250', '759', '1294', '1644', '1761', '1443', '504', '657', '1727', '1196', '107', '132', '682', '1535', '26', '207']"
223,1,0.4242065831444354,9,"['1502', '1821', '127', '1245', '1297', '173', '467', '894', '305']"
100,1,0.4242065831444354,10,"['309', '208', '265', '1188', '414', '231', '939', '1421', '885', '1881']"
263,1,0.4242065831444354,10,"['1821', '1476', '127', '1245', '1758', '928', '467', '698', '1426', '1433']"
73,1,0.4242065831444354,5,"['412', '127', '290', '1721', '235']"
642,1,0.4242065831444354,8,"['1476', '127', '455', '1245', '708', '467', '1829', '1433']"
1461,1,0.4242065831444354,7,"['319', '127', '880', '525', '1297', '305', '1259']"
1542,1,0.4242065831444354,5,"['127', '290', '1320', '1739', '45']"
1469,1,0.4242065831444354,22,"['1631', '1476', '455', '62', '1660', '467', '1739', '1731', '290', '1147', '1320', '1721', '103', '318', '45', '127', '848', '988', '1376', '1297', '174', '1259']"
625,1,0.4242065831444354,11,"['553', '1311', '127', '290', '455', '1721', '1739', '45', '305', '77', '1621']"
1893,1,0.4242065831444354,6,"['607', '578', '1782', '806', '564', '1374']"
1432,1,0.4242065831444354,9,"['656', '1821', '417', '2', '1049', '1147', '1423', '318', '1640']"
890,1,0.4242065831444354,5,"['127', '290', '1660', '1320', '103']"
401,1,0.4242065831444354,6,"['1476', '127', '290', '1660', '1721', '103']"
1057,1,0.4242065831444354,5,"['650', '1434', '36', '767', '1288']"
1093,1,0.4242065831444354,12,"['502', '290', '2', '806', '1443', '1660', '1663', '1147', '1706', '1721', '1423', '318']"
1582,1,0.4242065831444354,5,"['823', '876', '844', '1526', '1797']"
658,1,0.4242065831444354,6,"['1476', '1821', '781', '1660', '1147', '1320']"
1084,1,0.4242065831444354,7,"['35', '290', '880', '928', '1721', '682', '38']"
802,1,0.4242065831444354,14,"['35', '1476', '1682', '1821', '127', '1245', '1758', '1660', '514', '467', '1320', '1311', '1142', '1433']"
978,1,0.4242065831444354,6,"['1562', '1217', '1660', '701', '1825', '1721']"
292,1,0.4242065831444354,5,"['1476', '1196', '460', '682', '1374']"
1268,1,0.4242065831444354,5,"['35', '1476', '628', '880', '1320']"
968,1,0.4242065831444354,18,"['656', '417', '502', '557', '848', '2', '1653', '1443', '1297', '957', '467', '682', '1593', '1423', '318', '1374', '1259', '232']"
1314,1,0.4242065831444354,8,"['35', '857', '880', '774', '716', '467', '1706', '1259']"
1192,1,0.4242065831444354,6,"['1562', '650', '209', '1079', '1375', '594']"
365,1,0.4242065831444354,6,"['656', '1014', '781', '557', '1147', '318']"
860,1,0.4058689852115967,14,"['1369', '1028', '1476', '1763', '67', '1754', '980', '391', '1801', '188', '369', '1680', '315', '1829']"
