node,best_radius,best_q,size,members
144,1,0.6973400588199813,6,"['403', '689', '1297', '1762', '1643', '467']"
1905,1,0.6973400588199813,5,"['1476', '127', '1297', '851', '1259']"
1048,1,0.6973400588199813,10,"['1119', '1884', '1118', '394', '1232', '484', '779', '622', '1479', '1337']"
1355,1,0.6973400588199813,7,"['471', '982', '1147', '176', '1196', '1311', '1374']"
1521,1,0.6973400588199813,10,"['1424', '1476', '127', '290', '857', '1660', '1739', '798', '103', '305']"
538,1,0.6973400588199813,22,"['1476', '36', '1660', '1739', '1221', '290', '141', '1179', '613', '1320', '1721', '1593', '103', '1837', '1394', '988', '305', '1787', '1376', '1086', '1486', '174']"
1520,1,0.6973400588199813,6,"['409', '1036', '1660', '155', '103', '1259']"
401,1,0.6973400588199813,6,"['1476', '127', '290', '1660', '1721', '103']"
1796,1,0.6973400588199813,5,"['1476', '127', '1660', '467', '1259']"
1768,1,0.6973400588199813,11,"['1433', '1821', '1476', '127', '407', '1245', '1758', '1660', '467', '724', '1259']"
936,1,0.6973400588199813,7,"['127', '1297', '982', '1147', '467', '1593', '751']"
907,1,0.6973400588199813,12,"['488', '1424', '1476', '1843', '127', '290', '781', '197', '173', '1297', '467', '305']"
396,1,0.6973400588199813,7,"['1476', '127', '290', '1660', '1320', '1855', '103']"
1487,1,0.6973400588199813,6,"['127', '781', '1297', '1147', '467', '1259']"
890,1,0.6973400588199813,5,"['127', '290', '1660', '1320', '103']"
1847,1,0.6973400588199813,7,"['1543', '127', '982', '1147', '1593', '1374', '207']"
1479,1,0.6973400588199813,21,"['431', '265', '885', '1881', '1783', '939', '1421', '361', '1586', '224', '1107', '208', '88', '1136', '309', '1305', '1199', '1188', '1240', '1048', '397']"
431,1,0.6973400588199813,11,"['488', '224', '309', '208', '265', '1199', '122', '1188', '1479', '1421', '397']"
1029,1,0.6973400588199813,7,"['1631', '119', '36', '1014', '1367', '947', '869']"
1202,1,0.6973400588199813,5,"['35', '67', '290', '1694', '751']"
1417,1,0.6973400588199813,7,"['1297', '1660', '1068', '1643', '467', '1320', '103']"
653,1,0.6973400588199813,15,"['1719', '536', '1177', '857', '267', '547', '1628', '177', '706', '816', '1259', '1285', '962', '920', '1647']"
1018,1,0.6973400588199813,6,"['493', '637', '523', '195', '1619', '1755']"
1816,1,0.6973400588199813,7,"['1666', '1409', '1232', '1287', '1706', '195', '1755']"
184,1,0.6973400588199813,7,"['1476', '1821', '127', '1758', '1297', '467', '1259']"
1346,1,0.6973400588199813,6,"['1466', '1731', '1287', '274', '1721', '305']"
208,1,0.6973400588199813,30,"['976', '431', '265', '1167', '1479', '1668', '1337', '885', '1881', '1783', '1606', '432', '1184', '1034', '100', '1421', '939', '224', '1119', '1107', '1208', '1136', '823', '309', '1199', '1188', '106', '1506', '44', '397']"
84,1,0.6973400588199813,10,"['1763', '781', '471', '784', '1660', '1147', '1196', '682', '33', '1311']"
1516,1,0.6973400588199813,8,"['127', '287', '781', '1758', '197', '726', '38', '1259']"
593,1,0.6973400588199813,6,"['1014', '580', '1287', '1297', '1486', '305']"
365,1,0.6973400588199813,6,"['656', '1014', '781', '557', '1147', '318']"
1654,1,0.6973400588199813,12,"['1543', '127', '557', '471', '315', '176', '1196', '682', '1593', '38', '1374', '207']"
991,1,0.6973400588199813,5,"['403', '1476', '127', '67', '290']"
1875,1,0.6973400588199813,5,"['689', '36', '287', '148', '631']"
586,1,0.6973400588199813,8,"['972', '36', '287', '696', '305', '1297', '1643', '1142']"
1305,1,0.6973400588199813,7,"['738', '287', '122', '88', '1035', '1479', '1421']"
1719,1,0.6973400588199813,14,"['488', '1821', '1059', '1014', '781', '1260', '1699', '471', '1297', '98', '1825', '1486', '1311', '653']"
1331,1,0.6973400588199813,6,"['290', '141', '1660', '1320', '1721', '305']"
1030,1,0.6973400588199813,5,"['1424', '1429', '493', '173', '1308']"
1663,1,0.6973400588199813,15,"['689', '1376', '290', '148', '1093', '1660', '1657', '1422', '1525', '1320', '1739', '1593', '305', '878', '1259']"
