node,best_radius,best_q,size,members
1197,1,1.0789327307216638,29,"['1366', '1543', '1476', '455', '1137', '1739', '306', '1555', '446', '290', '1443', '1320', '1386', '1721', '235', '1608', '25', '127', '1782', '898', '1758', '471', '1008', '1157', '1185', '1867', '1280', '1086', '244']"
149,1,1.0789327307216638,11,"['488', '25', '1669', '880', '1908', '928', '637', '429', '1552', '204', '1442']"
401,1,1.0789327307216638,6,"['1476', '127', '290', '1660', '1721', '103']"
890,1,1.0789327307216638,5,"['127', '290', '1660', '1320', '103']"
1910,1,1.0789327307216638,15,"['1476', '1821', '127', '290', '905', '428', '471', '1758', '1701', '1660', '1320', '1311', '103', '1799', '1259']"
473,1,1.0789327307216638,13,"['1476', '1787', '127', '287', '628', '455', '928', '1297', '1660', '467', '103', '1142', '1259']"
1085,1,1.0789327307216638,10,"['1718', '1502', '1653', '1280', '880', '1297', '106', '467', '1486', '1780']"
1551,1,1.0789327307216638,13,"['1821', '127', '342', '1758', '471', '109', '1297', '467', '894', '1593', '1423', '1621', '1259']"
123,1,1.0789327307216638,6,"['777', '880', '369', '982', '828', '1311']"
1556,1,1.0789327307216638,11,"['488', '1476', '290', '1104', '1660', '1320', '1677', '1739', '1308', '751', '115']"
1905,1,1.0789327307216638,5,"['1476', '127', '1297', '851', '1259']"
1536,1,1.0789327307216638,16,"['656', '207', '250', '1476', '809', '388', '109', '982', '1196', '460', '1721', '682', '1320', '1374', '1311', '235']"
847,1,1.0789327307216638,9,"['1366', '121', '1476', '127', '1304', '1280', '1660', '1147', '1593']"
1170,1,1.0789327307216638,7,"['25', '1776', '67', '428', '1311', '1388', '869']"
1417,1,1.0789327307216638,7,"['1297', '1660', '1068', '1643', '467', '1320', '103']"
795,1,1.0789327307216638,5,"['1612', '1476', '290', '1660', '103']"
801,1,1.0789327307216638,17,"['1787', '1476', '127', '215', '1533', '1758', '141', '1297', '1660', '1701', '467', '1593', '1721', '103', '698', '1621', '1259']"
331,1,1.0789327307216638,16,"['1555', '1821', '1557', '127', '290', '287', '1811', '1245', '1758', '1297', '1660', '1643', '467', '103', '799', '1259']"
396,1,1.0789327307216638,7,"['1476', '127', '290', '1660', '1320', '1855', '103']"
111,1,1.0789327307216638,13,"['656', '1763', '127', '862', '557', '471', '1147', '1422', '467', '682', '698', '1374', '1311']"
308,1,1.0789327307216638,20,"['415', '467', '1337', '817', '1036', '814', '1821', '1859', '290', '613', '637', '1179', '1593', '195', '1354', '683', '1394', '1068', '106', '1647']"
1159,1,1.0789327307216638,12,"['1433', '1476', '127', '455', '1758', '928', '106', '467', '894', '1825', '244', '1647']"
672,1,1.0789327307216638,10,"['250', '290', '1653', '1137', '153', '1147', '1320', '1721', '103', '1374']"
185,1,1.0789327307216638,8,"['1502', '1541', '996', '899', '1721', '1739', '103', '174']"
1757,1,1.0789327307216638,12,"['1433', '127', '290', '455', '1068', '1297', '467', '496', '1311', '103', '1142', '235']"
1290,1,1.0789327307216638,33,"['1366', '1476', '675', '1137', '996', '1660', '682', '306', '1739', '290', '215', '982', '1320', '1721', '103', '45', '33', '115', '893', '1653', '1287', '1758', '751', '26', '656', '999', '428', '880', '1068', '1297', '899', '1486', '1647']"
831,1,1.0789327307216638,19,"['1476', '1660', '467', '1821', '290', '1147', '1320', '1593', '103', '127', '1304', '1758', '1311', '305', '557', '1280', '1068', '1297', '688']"
1743,1,1.0789327307216638,21,"['1476', '1765', '1660', '467', '1422', '682', '669', '1739', '290', '153', '1320', '1721', '103', '127', '267', '176', '260', '1280', '1297', '681', '1486']"
789,1,1.0789327307216638,22,"['455', '1245', '467', '1739', '1821', '290', '141', '1179', '1320', '1721', '1593', '103', '1502', '1557', '127', '1758', '471', '577', '1014', '887', '1297', '1259']"
668,1,1.0789327307216638,5,"['1476', '1297', '1660', '275', '305']"
1858,1,1.0789327307216638,17,"['656', '1608', '465', '417', '1263', '628', '1821', '1699', '781', '777', '471', '1147', '341', '1311', '1423', '318', '395']"
1559,1,1.0789327307216638,8,"['488', '1763', '1014', '369', '197', '1258', '1086', '1311']"
1594,1,1.0789327307216638,5,"['1821', '1843', '1014', '1541', '455']"
362,1,1.0789327307216638,9,"['656', '488', '1821', '1843', '794', '1014', '1297', '467', '894']"
761,1,1.0789327307216638,15,"['1476', '290', '382', '869', '428', '868', '1297', '1545', '1408', '649', '260', '654', '1647', '244', '1844']"
1695,1,1.0789327307216638,8,"['1787', '1665', '428', '1068', '1297', '260', '1320', '1855']"
1253,1,1.0789327307216638,5,"['305', '274', '1593', '720', '335']"
79,1,1.0789327307216638,12,"['127', '67', '557', '455', '1245', '1297', '957', '467', '1196', '682', '1374', '1259']"
991,1,1.0789327307216638,5,"['403', '1476', '127', '67', '290']"
1303,1,1.0789327307216638,8,"['1666', '1232', '1014', '1350', '1005', '245', '197', '315']"
782,1,1.0789327307216638,5,"['777', '147', '197', '866', '1157']"
203,1,1.0789327307216638,11,"['1476', '465', '628', '1014', '147', '784', '1147', '1086', '429', '769', '318']"
1816,1,1.0789327307216638,7,"['1666', '1409', '1232', '1287', '1706', '195', '1755']"
932,1,1.0789327307216638,10,"['1476', '893', '1758', '241', '514', '567', '965', '260', '601', '235']"
635,1,1.0789327307216638,7,"['59', '1763', '868', '827', '1706', '1249', '429']"
728,1,1.0789327307216638,16,"['59', '1433', '1476', '1517', '127', '290', '708', '1758', '870', '1660', '1320', '1739', '1721', '1311', '1157', '1906']"
1529,1,1.0789327307216638,8,"['59', '656', '67', '290', '1236', '928', '669', '318']"
1215,1,1.0789327307216638,6,"['59', '1867', '880', '928', '637', '1706']"
1817,1,1.0789327307216638,13,"['1555', '65', '533', '290', '630', '85', '1367', '1807', '539', '1132', '1593', '1423', '305']"
