node,best_radius,best_q,size,members
292,1,5.204105415197725,5,"['1476', '1374', '682', '460', '1196']"
1123,1,4.935198080644225,13,"['814', '306', '1259', '290', '467', '1311', '1297', '1376', '1721', '1366', '1320', '103', '1739']"
1417,1,4.8851240498543484,7,"['467', '1660', '1643', '1297', '1320', '103', '1068']"
1331,1,4.859868318100625,6,"['290', '1721', '141', '1320', '1660', '305']"
401,1,4.758488623056166,6,"['1476', '290', '1721', '103', '1660', '127']"
1487,1,4.758488623056166,6,"['1259', '467', '1297', '1147', '781', '127']"
658,1,4.758488623056166,6,"['1476', '1821', '1660', '1320', '1147', '781']"
381,1,4.709636291729232,10,"['1476', '102', '467', '1699', '1433', '1297', '870', '1423', '1147', '781']"
890,1,4.709636291729232,5,"['290', '1320', '103', '1660', '127']"
1796,1,4.709636291729232,5,"['1259', '1476', '467', '1660', '127']"
172,1,4.542960348327857,5,"['1476', '1433', '1320', '103', '127']"
184,1,4.533911524932312,7,"['1476', '1259', '1821', '467', '1297', '1758', '127']"
1330,1,4.480539268392603,18,"['1476', '1374', '290', '656', '1660', '1142', '1311', '1758', '1443', '1721', '1320', '103', '1196', '982', '1068', '1739', '67', '127']"
365,1,4.459050487806571,6,"['656', '318', '557', '1014', '1147', '781']"
1202,1,4.41939142708911,5,"['290', '35', '1694', '67', '751']"
1471,1,4.400875357910382,13,"['467', '318', '1297', '682', '1721', '1320', '103', '1196', '982', '1147', '1739', '127', '1653']"
1084,1,4.386915385860616,7,"['290', '880', '682', '35', '1721', '38', '928']"
243,1,4.380947159120014,23,"['1543', '682', '1721', '1739', '305', '127', '290', '1443', '455', '1660', '1476', '467', '1643', '988', '287', '1320', '1533', '1147', '1259', '318', '141', '103', '1068']"
907,1,4.32440578073758,12,"['1476', '290', '467', '488', '305', '1297', '1424', '173', '1843', '781', '197', '127']"
421,1,4.309437887618118,8,"['814', '686', '1311', '557', '682', '1825', '1147', '1185']"
1847,1,4.295330604225797,7,"['1543', '1374', '1147', '982', '207', '1593', '127']"
936,1,4.295330604225797,7,"['467', '1297', '982', '1147', '1593', '127', '751']"
246,1,4.256329761052778,19,"['1433', '1376', '305', '127', '814', '102', '290', '1297', '455', '62', '1660', '1476', '467', '1320', '1259', '1758', '141', '103', '1036']"
84,1,4.229327573832229,10,"['1763', '1311', '682', '1147', '784', '33', '1196', '1660', '471', '781']"
83,1,4.219168231067288,7,"['1476', '1821', '467', '1758', '471', '781', '127']"
542,1,4.2075602182569405,5,"['290', '45', '62', '1320', '1739']"
1268,1,4.2075602182569405,5,"['1476', '880', '35', '628', '1320']"
795,1,4.2075602182569405,5,"['1476', '290', '1612', '103', '1660']"
371,1,4.204808723703799,7,"['866', '1763', '682', '1647', '1147', '471', '127']"
8,1,4.204808723703799,7,"['814', '1259', '148', '488', '1808', '67', '751']"
1093,1,4.201295023491563,12,"['290', '2', '1663', '318', '1423', '1443', '1721', '806', '1147', '1660', '502', '1706']"
1355,1,4.198312286873981,7,"['1374', '1311', '176', '1196', '982', '1147', '471']"
1228,1,4.175850922205168,8,"['1476', '290', '298', '1311', '35', '455', '341', '127']"
1092,1,4.160377071407856,11,"['467', '1287', '1555', '1297', '1758', '1647', '868', '717', '1660', '127', '95']"
1021,1,4.156200296590063,8,"['814', '1259', '290', '557', '682', '863', '1157', '1320']"
1654,1,4.153614135595998,12,"['1543', '1374', '557', '682', '315', '38', '176', '1196', '207', '471', '1593', '127']"
1713,1,4.147975292346763,16,"['1476', '290', '1821', '467', '1232', '1297', '1758', '870', '1433', '1157', '1787', '777', '59', '1147', '781', '127']"
1144,1,4.142548370427805,28,"['1376', '1721', '1366', '784', '1739', '305', '1867', '1297', '36', '62', '1660', '1142', '1525', '1245', '1643', '1014', '287', '1320', '1533', '689', '1196', '1147', '1259', '1700', '1631', '1787', '103', '1367']"
396,1,4.135687662792246,7,"['1476', '290', '1320', '103', '1660', '1855', '127']"
1567,1,4.11864850525348,22,"['682', '1721', '1739', '305', '893', '1837', '290', '878', '45', '1297', '982', '1660', '1142', '1476', '1374', '467', '599', '1086', '1320', '557', '103', '1068']"
69,1,4.067934020517238,7,"['1476', '429', '1721', '1320', '103', '1660', '305']"
998,1,4.053280515747523,9,"['1486', '290', '45', '62', '1320', '103', '1147', '1660', '781']"
1542,1,4.040884274855566,5,"['290', '45', '1320', '1739', '127']"
1520,1,4.013433695665011,6,"['409', '1259', '1660', '103', '155', '1036']"
1156,1,3.9743436257712492,8,"['1476', '1280', '290', '467', '1297', '103', '1660', '127']"
1128,1,3.9743436257712492,8,"['1476', '290', '45', '868', '62', '1320', '1660', '127']"
187,1,3.962295608814341,6,"['1374', '1311', '682', '504', '1196', '1005']"
1730,1,3.9563895009228953,16,"['1543', '1259', '1476', '290', '148', '1660', '1142', '45', '1758', '1297', '1304', '1787', '1320', '103', '1068', '127']"
